"Name","CVS , URL: /wiki/Concurrent_Versions_System
","Git , URL: /wiki/Git_(software)
","Hg , URL: /wiki/Mercurial
","SVN , URL: /wiki/Apache_Subversion
","BZR , URL: /wiki/GNU_Bazaar
","TFVC , URL: /wiki/Team_Foundation_Version_Control
","Arch , URL: /wiki/GNU_arch
","Perforce , URL: /wiki/Perforce
","Fossil , URL: /wiki/Fossil_(software)
"
"Assembla , URL: /wiki/Assembla
","No","Yes","No","Yes","No","No","No","Yes","No"
"Azure DevOps Services , URL: /wiki/Azure_DevOps_Services
","No","Yes","No","No","No","Yes","No","No","No"
"Bitbucket , URL: /wiki/Bitbucket
","No","Yes","Until Feb 2020[c]","No","No","No","No","No","No"
"Buddy , URL: /wiki/Buddy_(software)
","No","Yes","No","No","No","No","No","No","No"
"CloudForge , URL: /wiki/CloudForge
","No","Yes","No","Yes","No","No","No","No","No"
"GForge , URL: /wiki/GForge
","Yes","Yes","No","Yes","No","No","No","No","No"
"Gitea , URL: /wiki/Gitea
","No","Yes","No","No","No","No","No","No","No"
"GitHub , URL: /wiki/GitHub
","No","Yes","No","Partial[39]","No","No","No","No","No"
"GitLab , URL: /wiki/GitLab
","No","Yes","No","No","No","No","No","No","No"
"GNU Savannah , URL: /wiki/GNU_Savannah
","Yes","Yes","Yes","Yes","Yes[40]","No","Yes","No","No"
"java.net , URL: /wiki/Java.net
","No","Yes[41]","Yes[41]","Yes[41]","No","No","No","No","No"
"Kallithea , URL: /wiki/Kallithea_(software)
","No","Yes","Yes","No","No","No","No","No","No"
"Launchpad , URL: /wiki/Launchpad_(website)
","Import only","Yes[14][42]","Import only[43]","Import only","Yes","No","No","No","Unknown"
"OSDN , URL: /wiki/OSDN
","Yes","Yes","Yes","Yes","Yes","No","No","Unknown","Unknown"
"Ourproject.org , URL: /wiki/Ourproject.org
","Yes","No","No","Yes","No","No","No","Unknown","Unknown"
"OW2 Consortium , URL: /wiki/OW2_Consortium
","Yes","No","No","Yes","No","No","No","Unknown","Unknown"
"Helix TeamHub , URL: /wiki/Perforce#Other_products
","No","Yes","Yes","Yes","No","No","No","Yes","No"
"Phabricator , URL: /wiki/Phabricator
","No","Yes","Yes","Yes","No","No","No","No","No"
"RhodeCode , URL: /wiki/RhodeCode
","No","Yes","Yes","Yes","No","No","No","No","No"
"SEUL.org , URL: /wiki/SEUL
","Yes","No","No","Yes","No","No","No","Unknown","Unknown"
"SourceForge , URL: /wiki/SourceForge
","Dropped[44]","Yes","Yes","Yes","Dropped[45]","No","No","Unknown","No[46]"
"ProgramOnChain , URL: https://programonchain.com/
","No","Yes","No","Import only","No","No","No","Unknown","No"
"Name","CVS , URL: /wiki/Concurrent_Versions_System
","Git , URL: /wiki/Git_(software)
","Hg , URL: /wiki/Mercurial
","SVN , URL: /wiki/Apache_Subversion
","BZR , URL: /wiki/GNU_Bazaar
","TFVC , URL: /wiki/Team_Foundation_Version_Control
","Arch , URL: /wiki/GNU_arch
","Perforce , URL: /wiki/Perforce
","Fossil , URL: /wiki/Fossil_(software)
"
