"Driver family","Driver","Chipsets","PHY , URL: /wiki/PHY
","mainline , URL: /wiki/Mainline_(software_engineering)
","Non-free firmware required[note 1]","License","Development"
"adm8211 , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/admtek/adm8211.c
","adm8211","ADMtek ADM8211 (IEEE 802.11b MAC/BBP","b","Yes","Yes","GPLv2","With support from Infineon/ADMtek"
"at76c50x‑usb , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/atmel/at76c50x-usb.c
at76c50x‑usb , URL: https://wireless.wiki.kernel.org/en/users/Drivers/at76c50x-usb
","at76c50x-USB","Atmel AT76C503/AT76C505 based USB WLAN adapters","b","Yes","Depends on the model","GPLv2","?"
"","acx100 , URL: http://acx100.sourceforge.net/
","Texas Instruments , URL: /wiki/Texas_Instruments
","b/g","No","Yes","BSD , URL: /wiki/BSD
MPL , URL: /wiki/Mozilla_Public_License
","Reverse-engineered"
"airo , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/cisco/airo.c
","airo , URL: http://airo-linux.sourceforge.net/
","Cisco Systems , URL: /wiki/Cisco_Systems
","b","Yes","No","Dual GPLv2 and BSD","?"
"ath , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/ath
","ar5523 , URL: https://wireless.wiki.kernel.org/en/users/Drivers/ar5523
","Qualcomm Atheros , URL: /wiki/Qualcomm_Atheros
","a/b/g","Yes","Yes","ISC","Reverse-engineered"
"ath , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/ath
","ath5k , URL: https://wireless.wiki.kernel.org/en/users/Drivers/ath5k
","Qualcomm Atheros AR2413, AR2414, AR2417, AR2425, AR5210, AR5211, AR5212, AR5213, AR5413, AR5414, AR5423, AR5424","a/b/g","Yes (since 2.6.25)","N/A[3]","GPL , URL: /wiki/GPL
BSD , URL: /wiki/BSD
","Reverse-engineered"
"ath , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/ath
","ath6kl , URL: https://wireless.wiki.kernel.org/en/users/Drivers/ath6kl
","Qualcomm Atheros AR6003, AR6004 (SDIO), AR6004 (USB)","a/b/g","Yes","Yes","ISC","Written by Qualcomm Atheros"
"ath , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/ath
","ath9k , URL: https://wireless.wiki.kernel.org/en/users/Drivers/ath9k
","IEEE 802.11n , URL: /wiki/IEEE_802.11n
","a/b/g/n","Yes (since 2.6.27)","N/A[3]","ISC , URL: /wiki/ISC_license
","Written by Qualcomm Atheros"
"ath , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/ath
","ath9k_htc , URL: https://wireless.wiki.kernel.org/en/users/Drivers/ath9k_htc
","Qualcomm Atheros AR9271, AR7010 (USB-PCIe bridge with AR928x chips)","b/g/n","Yes (since 2.6.35)[4][5]","No[6]","ISC , URL: /wiki/ISC_license
","Written by Qualcomm Atheros"
"ath , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/ath
","ath10k , URL: https://wireless.wiki.kernel.org/en/users/Drivers/ath10k
","IEEE 802.11ac , URL: /wiki/IEEE_802.11ac
","ac","Yes (since 3.11)[7]","Yes[8]","ISC , URL: /wiki/ISC_license
","Written by Qualcomm Atheros"
"ath , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/ath
","ath11k , URL: https://wireless.wiki.kernel.org/en/users/Drivers/ath11k
","IEEE 802.11ax , URL: /wiki/IEEE_802.11ax
","ax","Yes (since 5.6)[9]","Yes[10]","ISC , URL: /wiki/ISC_license
","Written by Qualcomm Atheros"
"ath , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/ath
","carl9170 , URL: https://wireless.wiki.kernel.org/en/users/Drivers/carl9170
","Qualcomm Atheros AR9170 (802.11n USB)","a/b/g/n","Yes (since 3.0)","No[11]","GPL , URL: /wiki/GPL
","Qualcomm Atheros-supported"
"ath , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/ath
","wil6210 , URL: https://wireless.wiki.kernel.org/en/users/Drivers/wil6210
","Wilocity , URL: /wiki/Wilocity
802.11ad 60GHz , URL: /wiki/IEEE_802.11ad
","ad","Yes","Yes","ISC , URL: /wiki/ISC_license
","Written by Qualcomm Atheros"
"atmel , URL: https://git.kernel.org/cgit/linux/kernel/git/linville/wireless-testing.git/tree/drivers/net/wireless/atmel/atmel.c
","atmel , URL: https://wireless.wiki.kernel.org/en/users/Drivers/atmel
","Atmel at76c502 at76c504 and at76c506 wireless cards","b","Yes","Yes","GPLv2+","Reverse-engineered"
"b43 , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/broadcom/b43
","b43 , URL: https://wireless.wiki.kernel.org/en/users/Drivers/b43
","Broadcom , URL: /wiki/Broadcom
","a/b/g/n","Yes (since 2.6.24)","Experimental OSS firmware[12]","GPL , URL: /wiki/GPL
","Reverse-engineered"
"b43legacy , URL: https://git.kernel.org/pub/scm/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/broadcom/b43legacy
","b43legacy , URL: https://wireless.wiki.kernel.org/en/users/Drivers/b43legacy
","Broadcom , URL: /wiki/Broadcom
","a/b/g","Yes (since 2.6.24)","Experimental OSS firmware[12]","GPL , URL: /wiki/GPL
","Reverse-engineered"
"brcm80211 , URL: https://git.kernel.org/pub/scm/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/broadcom/brcm80211
","brcmfmac , URL: https://wireless.wiki.kernel.org/en/users/Drivers/brcm80211
","Broadcom , URL: /wiki/Broadcom
Broadcom , URL: /wiki/Broadcom
Broadcom , URL: /wiki/Broadcom
","a/b/g/n","Yes (since 3.2)","Yes","ISC","Written by Broadcom"
"brcm80211 , URL: https://git.kernel.org/pub/scm/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/broadcom/brcm80211
","brcmsmac , URL: https://wireless.wiki.kernel.org/en/users/Drivers/brcm80211
","Broadcom , URL: /wiki/Broadcom
","a/b/g/n","Yes (since 3.2)","Yes","ISC","Written by Broadcom"
"cw1200 , URL: https://git.kernel.org/cgit/linux/kernel/git/linville/wireless-testing.git/tree/drivers/net/wireless/st/cw1200
","cw1200 , URL: https://wireless.wiki.kernel.org/en/users/Drivers/cw1200
","ST-Ericsson , URL: /wiki/ST-Ericsson
","?","Yes (since 3.11)[13]","Yes[14]","GPLv2","?"
"hostap , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/intersil/hostap
","HostAP , URL: /wiki/HostAP
","Intersil , URL: /wiki/Intersil
PRISM , URL: /wiki/PRISM_(chipset)
","?","Yes","Depends on the model[15]","GPLv2",""
"ipw2x00 , URL: https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/tree/drivers/net/wireless/intel/ipw2x00
","ipw2x00 , URL: https://wireless.wiki.kernel.org/en/users/Drivers/ipw2x00
","Intel PRO/Wireless 2100 and 2200 Network Connection 802.11b","?","Yes","Yes[16]","GPL","Written by Intel"
