"Driver","802.11 , URL: /wiki/802.11
","802.11 , URL: /wiki/802.11
","802.11 , URL: /wiki/802.11
","802.11 , URL: /wiki/802.11
","802.11 , URL: /wiki/802.11
","802.11 , URL: /wiki/802.11
","802.11 , URL: /wiki/802.11
","Bus interface","Wireless Security","Wireless Security","Wireless Security","Monitor mode , URL: /wiki/Monitor_mode
","AP , URL: /wiki/Wireless_access_point
","Ad-Hoc mode , URL: /wiki/Wireless_ad_hoc_network
","IEEE 802.11s"
"Driver","a , URL: /wiki/802.11a
","b , URL: /wiki/802.11b
","g , URL: /wiki/802.11g
","n , URL: /wiki/802.11n
","ac , URL: /wiki/802.11ac
","ad , URL: /wiki/802.11ad
","ax , URL: /wiki/802.11ax
","Bus interface","WEP , URL: /wiki/Wired_Equivalent_Privacy
","WPA , URL: /wiki/Wi-Fi_Protected_Access
","WPA2 , URL: /wiki/Wi-Fi_Protected_Access
","Monitor mode , URL: /wiki/Monitor_mode
","AP , URL: /wiki/Wireless_access_point
","Ad-Hoc mode , URL: /wiki/Wireless_ad_hoc_network
","IEEE 802.11s"
"acx1xx , URL: http://acx100.sourceforge.net/
","No","Yes","Yes","No","No","?","?","PCI , URL: /wiki/Peripheral_Component_Interconnect
Mini PCI , URL: /wiki/Mini_PCI
PC card , URL: /wiki/PC_card
USB , URL: /wiki/USB
","Yes","No","No","Yes","Yes","?",""
"adm8211 , URL: https://web.archive.org/web/20080213051945/http://aluminum.sourmilk.net/adm8211/
","No","Yes","No","No","No","?","?","PCI , URL: /wiki/Peripheral_Component_Interconnect
","Yes","?","?","Yes","No","Yes",""
"carl9170 , URL: https://wireless.wiki.kernel.org/en/users/Drivers/carl9170
","Yes","Yes","Yes","Yes","No","?","?","USB , URL: /wiki/Universal_Serial_Bus
","Yes","Yes","Yes","Yes","Yes","Yes",""
"ath5k , URL: https://wireless.wiki.kernel.org/en/users/Drivers/ath5k
","Yes","Yes","Yes","No","No","?","?","PCI , URL: /wiki/Peripheral_Component_Interconnect
Mini PCI , URL: /wiki/Mini_PCI
PC card , URL: /wiki/PC_card
AHB , URL: /wiki/AMBA_High-performance_Bus
","Yes","Yes","Yes","Yes","Yes (2.6.31)","Yes",""
"ath9k , URL: https://wireless.wiki.kernel.org/en/users/Drivers/ath9k
","Yes","Yes","Yes","Yes","No","?","?","PCI , URL: /wiki/Peripheral_Component_Interconnect
Mini PCI , URL: /wiki/Mini_PCI
Mini PCIe , URL: /wiki/PCI_Express_Mini_Card
AHB , URL: /wiki/AMBA_High-performance_Bus
","Yes","Yes","Yes","Yes","Yes","Yes",""
"ath9k_htc , URL: https://wireless.wiki.kernel.org/en/users/Drivers/ath9k_htc
","Yes","Yes","Yes","Yes","No","?","?","USB , URL: /wiki/USB
","Yes","Yes","Yes","Yes","Yes","Yes",""
"ath10k , URL: https://wireless.wiki.kernel.org/en/users/Drivers/ath10k
","No","No","No","No","Yes","?","?","PCI , URL: /wiki/Peripheral_Component_Interconnect
Mini PCI , URL: /wiki/Mini_PCI
AHB , URL: /wiki/AMBA_High-performance_Bus
Mini PCIe , URL: /wiki/PCI_Express_Mini_Card
","Yes","Yes","Yes","Yes","Yes","Yes",""
"b43 , URL: https://web.archive.org/web/20080409212922/http://linuxwireless.org/en/users/Drivers/b43
","No","Yes","Yes","No","No","?","?","PCI , URL: /wiki/Peripheral_Component_Interconnect
Mini PCI , URL: /wiki/Mini_PCI
SDIO , URL: /wiki/Secure_Digital_card#SDIO
","Yes","Yes","Yes","Yes","Yes","Yes",""
"bcm43xx , URL: https://web.archive.org/web/20060522192624/http://bcm43xx.berlios.de/
","No","Yes","Yes","No","No","?","?","PCI , URL: /wiki/Peripheral_Component_Interconnect
Mini PCI , URL: /wiki/Mini_PCI
Cardbus , URL: /wiki/Cardbus
PC card , URL: /wiki/PC_card
","Yes","Yes","Yes","Yes","No","?",""
"brcmfmac , URL: https://web.archive.org/web/20121029101459/http://linuxwireless.org/en/users/Drivers/brcm80211
","Yes","Yes","Yes","Yes","No","?","?","USB , URL: /wiki/USB
SDIO , URL: /wiki/Secure_Digital_card#SDIO
PCI Express , URL: /wiki/PCI_Express
","Yes","Yes","Yes","Exp. [29]","Yes [30]","No",""
