"Kernel name","Programming language","Used in","Creator","section , URL: #Binary_format_support
","Type","firewall , URL: /wiki/Firewall_(networking)
","SMP , URL: /wiki/Symmetric_multiprocessing
","architecture , URL: /wiki/Computer_architecture
section , URL: #Supported_CPU_architectures
","Multitasking , URL: /wiki/Computer_multitasking
","Virtualization , URL: /wiki/Operating_system-level_virtualization
","Security , URL: /wiki/Security
","Profiling , URL: /wiki/Software_performance_analysis
Debugging , URL: /wiki/Debugging
","real-time , URL: /wiki/Real-time_computing
","real-time , URL: /wiki/Real-time_computing
","RTC , URL: /wiki/Real-time_clock
UT , URL: /wiki/Universal_Time
"
"Amiga Exec , URL: /wiki/Exec_(Amiga)
","","AmigaOS , URL: /wiki/AmigaOS
","Commodore International , URL: /wiki/Commodore_International
","HUNK , URL: /wiki/Amiga_Hunk
","Exokernel , URL: /wiki/Exokernel
","No","No","No","Yes","No","No","Yes","No","No","No"
"Amiga Exec SG (2nd Generation) , URL: /wiki/Exec_(Amiga)
","","AmigaOS 4 , URL: /wiki/AmigaOS_4
","Hyperion Entertainment , URL: /wiki/Hyperion_Entertainment
","ELF , URL: /wiki/Executable_and_Linkable_Format
HUNK , URL: /wiki/Amiga_Hunk
","Exokernel , URL: /wiki/Exokernel
","No","No","No","Yes","No","No","Yes","No","No","?"
"DragonFly BSD kernel , URL: /wiki/DragonFly_BSD#Kernel
","C , URL: /wiki/C_(programming_language)
","DragonFly BSD , URL: /wiki/DragonFly_BSD
","Matt Dillon , URL: /wiki/Matt_Dillon_(computer_scientist)
","ELF , URL: /wiki/Executable_and_Linkable_Format
","hybrid , URL: /wiki/Hybrid_kernel
","Ipfirewall , URL: /wiki/Ipfirewall
PF , URL: /wiki/PF_(firewall)
","Yes","No","Yes","chroot , URL: /wiki/Chroot
jail , URL: /wiki/Operating-system-level_virtualization
","Unix permissions , URL: /wiki/Unix_security
","KGDB , URL: /wiki/KGDB
","?","?","?"
"FreeBSD kernel , URL: /wiki/FreeBSD
","C , URL: /wiki/C_(programming_language)
","FreeBSD , URL: /wiki/FreeBSD
","The FreeBSD Project , URL: /wiki/FreeBSD
","ELF , URL: /wiki/Executable_and_Linkable_Format
","monolithic , URL: /wiki/Monolithic_kernel
","IPFilter , URL: /wiki/IPFilter
Ipfirewall , URL: /wiki/Ipfirewall
PF , URL: /wiki/PF_(firewall)
","Yes","Yes","Yes","chroot , URL: /wiki/Chroot
jail , URL: /wiki/FreeBSD_jail
bhyve , URL: /wiki/Bhyve
","Unix permissions , URL: /wiki/Unix_security
POSIX.1e and NFSv4 ACLs , URL: /wiki/Access_control_list
TrustedBSD MAC , URL: /wiki/Mandatory_Access_Control
OpenBSM , URL: /wiki/OpenBSM
","KDB , URL: /wiki/Kernel_debugger
KGDB , URL: /wiki/KGDB
DTrace , URL: /wiki/DTrace
hwpmc , URL: /w/index.php?title=Hwpmc&action=edit&redlink=1
","Yes","?","Yes"
"GNU Hurd , URL: /wiki/GNU_Hurd
","C , URL: /wiki/C_(programming_language)
","GNU/Hurd , URL: /wiki/GNU
Arch Hurd , URL: /wiki/GNU_variants#Arch_Hurd
Debian GNU/Hurd , URL: /wiki/GNU_variants#Debian_GNU/Hurd
","GNU Project , URL: /wiki/GNU_Project
Free Software Foundation , URL: /wiki/Free_Software_Foundation
","ELF , URL: /wiki/Executable_and_Linkable_Format
","multiserver microkernel","No","partial","No","Yes","chroot , URL: /wiki/Chroot
Xen , URL: /wiki/Xen
","Unix permissions , URL: /wiki/Unix_security
POSIX ACL , URL: /wiki/Access_control_list
POSIX Capabilities , URL: /wiki/Capability-based_security#POSIX_capabilities
","?","?","?","?"
"GNU Mach , URL: /wiki/GNU_Mach
","C , URL: /wiki/C_(programming_language)
","GNU Hurd , URL: /wiki/GNU_Hurd
GNU/Hurd , URL: /wiki/GNU
","GNU Project , URL: /wiki/GNU_Project
Free Software Foundation , URL: /wiki/Free_Software_Foundation
","ELF , URL: /wiki/Executable_and_Linkable_Format
","microkernel , URL: /wiki/Microkernel
","No","partial","No","Yes","chroot , URL: /wiki/Chroot
Xen , URL: /wiki/Xen
","Unix permissions , URL: /wiki/Unix_security
POSIX ACL , URL: /wiki/Access_control_list
POSIX Capabilities , URL: /wiki/Capability-based_security#POSIX_capabilities
","?","?","?","?"
"Inferno kernel , URL: /wiki/Inferno_(operating_system)
","","Inferno , URL: /wiki/Inferno_(operating_system)
","Bell Labs , URL: /wiki/Bell_Labs
Vita Nuova Holdings , URL: /w/index.php?title=Vita_Nuova_Holdings&action=edit&redlink=1
","?","virtual machine , URL: /wiki/Virtual_machine
","?","Yes","Yes","Yes","chroot , URL: /wiki/Chroot
Xen , URL: /wiki/Xen
","?","?","?","?","?"
"L4 , URL: /wiki/L4_microkernel_family
","","L4 , URL: /wiki/L4_microkernel_family
","Jochen Liedtke , URL: /wiki/Jochen_Liedtke
","No","microkernel , URL: /wiki/Microkernel
","No","Yes","Yes","Yes","Yes","Afterburner/L4 , URL: /w/index.php?title=Afterburner/L4&action=edit&redlink=1
[1] , URL: http://www.l4ka.org/79.php
[2] , URL: http://www.l4ka.org/78.php
capabilities , URL: /wiki/Capability-based_security
L4/Fiasco , URL: /wiki/L4/Fiasco
","L4/Fiasco , URL: /wiki/L4/Fiasco
","L4/Fiasco , URL: /wiki/L4/Fiasco
","?","?"
"Linux kernel , URL: /wiki/Linux_kernel
","C , URL: /wiki/C_(programming_language)
","Linux , URL: /wiki/Linux
Android , URL: /wiki/Android_(operating_system)
webOS , URL: /wiki/WebOS
Firefox OS , URL: /wiki/Firefox_OS
Chrome OS , URL: /wiki/Chrome_OS
Sailfish OS , URL: /wiki/Sailfish_OS
Tizen , URL: /wiki/Tizen
","Linus Torvalds , URL: /wiki/Linus_Torvalds
","ELF , URL: /wiki/Executable_and_Linkable_Format
","monolithic , URL: /wiki/Monolithic_kernel
","ipfwadm , URL: /w/index.php?title=Ipfwadm&action=edit&redlink=1
","Yes","Yes","Yes","cgroups , URL: /wiki/Cgroups
chroot , URL: /wiki/Chroot
Lguest , URL: /wiki/Lguest
Xen , URL: /wiki/Xen
KVM , URL: /wiki/Kernel-based_Virtual_Machine
kvm-lite , URL: /w/index.php?title=Kvm-lite&action=edit&redlink=1
LXC , URL: /wiki/LXC
","Unix permissions , URL: /wiki/Unix_security
POSIX ACL , URL: /wiki/Access_control_list
POSIX Capabilities , URL: /wiki/Capability-based_security#POSIX_capabilities
LSM , URL: /wiki/Linux_Security_Modules
SELinux , URL: /wiki/SELinux
SMACK , URL: /wiki/Smack_(Linux_security_module)
TOMOYO Linux , URL: /wiki/TOMOYO_Linux
AppArmor , URL: /wiki/AppArmor
","OProfile , URL: /wiki/OProfile
kprobe , URL: /w/index.php?title=Kprobe&action=edit&redlink=1
SystemTap , URL: /wiki/SystemTap
JProbe , URL: /w/index.php?title=JProbe&action=edit&redlink=1
ftrace , URL: /wiki/Ftrace
KDB , URL: /wiki/Kernel_debugger
KGDB , URL: /wiki/KGDB
kernel marker , URL: /wiki/Kernel_marker
perf tools , URL: /wiki/Perf_(Linux)
","CONFIG_PREEMPT","CONFIG_PREEMPT_RT Patch , URL: /wiki/PREEMPT_RT
","Yes"
"Compute Node Linux , URL: /wiki/Compute_Node_Linux
","","Compute Node Linux , URL: /wiki/Compute_Node_Linux
","Cray Inc. , URL: /wiki/Cray_Inc.
","?","?","?","?","?","?","?","?","?","?","?","?"
