"Name","Creator","Initial public release","Predecessor","Current stable version","Release date","Cost, availability","license , URL: /wiki/Software_license
","Target system type"
"AIX , URL: /wiki/IBM_AIX
","IBM , URL: /wiki/IBM
","1986","UNIX System V , URL: /wiki/UNIX_System_V
","7.2 TL4","November 2019","Bundled with hardware","Proprietary , URL: /wiki/Proprietary_software
","Server , URL: /wiki/Server_(computing)
NAS , URL: /wiki/Network-attached_storage
workstation , URL: /wiki/Workstation
"
"AmigaOS , URL: /wiki/AmigaOS
","Commodore International , URL: /wiki/Commodore_International
Haage & Partner , URL: /wiki/Haage_%26_Partner
Hyperion Entertainment , URL: /wiki/Hyperion_Entertainment
","1985","TRIPOS , URL: /wiki/TRIPOS
","3.9 BB2 , URL: /wiki/AmigaOS_versions#AmigaOS_3.5.2C_3.9
","March 20, 2002","Discontinued; Bundled with hardware up to version 3.0 (Amiga International hardware came with 3.1); versions 2.1, 3.0, 3.1, 3.5, 3.9 also available as separate packages","Proprietary , URL: /wiki/Proprietary_software
AROS , URL: /wiki/AROS
","personal computer , URL: /wiki/Personal_computer
"
"AmigaOS 4 , URL: /wiki/AmigaOS_4
","Hyperion Entertainment","2004","AmigaOS classic","4.1 Final Edition","2014","4.0 bundled with hardware; 4.0 for classic and 4.1 available as standalone package at €29","Proprietary , URL: /wiki/Proprietary_software
","Workstation, personal computer"
"Android , URL: /wiki/Android_(operating_system)
","Android, Inc. , URL: /wiki/Android,_Inc.
Google , URL: /wiki/Google
","2008","None","12 , URL: /wiki/Android_12
","October 4, 2021","No cost , URL: /wiki/Gratis_versus_libre
","Apache-2.0 , URL: /wiki/Apache_License
GPL-2.0-only , URL: /wiki/GNU_General_Public_License
","Smartphone , URL: /wiki/Smartphone
tablet computer , URL: /wiki/Tablet_computer
education , URL: /wiki/Educational_software
"
"ArcaOS , URL: /wiki/ArcaOS
","Arca Noae, LLC","2017","OS/2","5.0.6","August 31, 2020","Personal edition US$129.00 Commercial edition US$229.00","Proprietary , URL: /wiki/Proprietary_software
","Server, workstation, personal computer"
"Classic Mac OS , URL: /wiki/Classic_Mac_OS
","Apple Computer, Inc. , URL: /wiki/Apple_Computer,_Inc.
Apple Inc. , URL: /wiki/Apple_Inc.
","1984","None[g 2][g 3]","9.2.2","2000","68k , URL: /wiki/68k
PowerPC , URL: /wiki/PowerPC
","Proprietary , URL: /wiki/Proprietary_software
","Workstation, personal computer"
"Chrome OS , URL: /wiki/Chrome_OS
","Google , URL: /wiki/Google
","2009","Chromium OS , URL: /wiki/Chromium_OS
","93.0.4577.107","October 7, 2021","32-bit , URL: /wiki/32-bit_x86
","Proprietary , URL: /wiki/Proprietary_software
","Chromebook , URL: /wiki/Chromebook
Chromebox , URL: /wiki/Chromebox
Chromebase , URL: /wiki/Chromebase
tablet , URL: /wiki/Tablet_computer
"
"DragonFly BSD , URL: /wiki/DragonFly_BSD
","Matthew Dillon , URL: /wiki/Matthew_Dillon_(computer_scientist)
","2003","FreeBSD","6.0","May 10, 2021","No cost , URL: /wiki/Gratis_versus_libre
","BSD , URL: /wiki/BSD_licenses
","embedded system , URL: /wiki/Embedded_system
"
"eComStation , URL: /wiki/EComStation
","Serenity Systems, Mensys BV","2001","OS/2","2.1","May 20, 2011","Discontinued; Commercial","Proprietary , URL: /wiki/Proprietary_software
","Server, workstation, personal computer"
