"Name","Computer architectures , URL: /wiki/Computer_architecture
","File systems , URL: /wiki/File_system
","Kernel , URL: /wiki/Kernel_(operating_system)
","Source lines of code , URL: /wiki/Source_lines_of_code
","GUI , URL: /wiki/Graphical_user_interface
","Package management , URL: /wiki/Package_management_system
","Update management","APIs , URL: /wiki/Application_programming_interface
","Non-native APIs supported through subsystems"
"AIX , URL: /wiki/AIX_operating_system
","POWER , URL: /wiki/IBM_POWER_Instruction_Set_Architecture
PowerPC-AS , URL: /wiki/RS64
PowerPC , URL: /wiki/PowerPC
Power ISA , URL: /wiki/Power_ISA
","JFS , URL: /wiki/IBM_Journaled_File_System_2_(JFS2)
JFS2 , URL: /wiki/IBM_Journaled_File_System_2_(JFS2)
ISO 9660 , URL: /wiki/ISO_9660
UDF , URL: /wiki/Universal_Disk_Format
NFS , URL: /wiki/Network_File_System_(protocol)
SMBFS , URL: /wiki/SMBFS
GPFS , URL: /wiki/GPFS
","Monolithic , URL: /wiki/Monolithic_kernel
modules , URL: /wiki/Loadable_kernel_module
","","No","RPM , URL: /wiki/RPM_Package_Manager
","Service Update Management Assistant , URL: /wiki/Service_Update_Management_Assistant
","SysV , URL: /wiki/System_V
POSIX , URL: /wiki/POSIX
",""
"AmigaOS , URL: /wiki/AmigaOS
","68k , URL: /wiki/68k
PowerPC , URL: /wiki/PowerPC
","OFS , URL: /wiki/Amiga_Old_File_System
FFS , URL: /wiki/Amiga_Fast_File_System
SFS , URL: /wiki/Smart_File_System
PFS , URL: /wiki/Professional_File_System
FAT , URL: /wiki/File_Allocation_Table
SMBFS , URL: /wiki/SMBFS
","Microkernel , URL: /wiki/Microkernel
","","Yes","Installer , URL: /wiki/AmigaOS#AmigaOS_2.x_user_interface_improvements
","","Proprietary","BSD , URL: /wiki/Berkeley_Software_Distribution
ixemul.library , URL: /wiki/Ixemul.library
"
"AmigaOS 4 , URL: /wiki/AmigaOS_4
","PowerPC","Proprietary (OFS, FFS, SFS, PFS), JXFS, FAT, ISO 9660, UDF, many others via 3rd party drivers, such as SMBFS, etc.","Microkernel","","Yes","Installer[t 3] (almost not needed)[t 4]","AmiUpdate , URL: http://www.amiupdate.net/
","Proprietary","ixemul.library , URL: /wiki/Ixemul.library
"
"ArcaOS , URL: /wiki/ArcaOS
","IA-32 , URL: /wiki/IA-32
","JFS , URL: /wiki/JFS_(file_system)
HPFS , URL: /wiki/High_Performance_File_System
ISO 9660 , URL: /wiki/ISO_9660
UDF , URL: /wiki/Universal_Disk_Format
FAT32 , URL: /wiki/FAT32
NTFS , URL: /wiki/NTFS
","Hybrid","","Yes","ANPM (based on YUM and RPM)","Update Facility","OS/2","POSIX, Win16, DOS, Win32, Java"
"Chrome OS , URL: /wiki/Chrome_OS
","ARM , URL: /wiki/ARM_architecture
IA-32 , URL: /wiki/IA-32
x86-64 , URL: /wiki/X86-64
","eCryptfs , URL: /wiki/ECryptfs
NTFS , URL: /wiki/NTFS
FAT , URL: /wiki/File_Allocation_Table
FAT16 , URL: /wiki/FAT16
FAT32 , URL: /wiki/FAT32
exFAT , URL: /wiki/ExFAT
ext2 , URL: /wiki/Ext2
ext3 , URL: /wiki/Ext3
ext4 , URL: /wiki/Ext4
HFS+ , URL: /wiki/HFS%2B
MTP , URL: /wiki/Media_Transfer_Protocol
ISO9660 , URL: /wiki/ISO9660
UDF , URL: /wiki/Universal_Disk_Format
","Monolithic with modules","≈17 million[9]","Yes","Portage , URL: /wiki/Portage_(software)
","","Linux/POSIX",""
"DragonFly BSD , URL: /wiki/DragonFly_BSD
","x86-64 , URL: /wiki/X86-64
","UFS1 , URL: /wiki/Unix_file_system
ext2 , URL: /wiki/Ext2
FAT (16/32) , URL: /wiki/File_Allocation_Table
HAMMER , URL: /wiki/HAMMER_(file_system)
ISO 9660 , URL: /wiki/ISO_9660
","Hybrid , URL: /wiki/Hybrid_kernel
","","No","dports , URL: /wiki/Ports_collection
","git, cvsup, rsync, pkg","BSD , URL: /wiki/BSD
","Win32 , URL: /wiki/Win32
"
"eComStation , URL: /wiki/EComStation
","IA-32 , URL: /wiki/IA-32
","HPFS , URL: /wiki/High_Performance_File_System
JFS , URL: /wiki/JFS_(file_system)
FAT32 , URL: /wiki/FAT32
NTFS , URL: /wiki/NTFS
","Hybrid","","Yes","WarpIN, Feature Install, others","Maintenance Tool","DOS API , URL: /wiki/DOS_API
","Java , URL: /wiki/Java_(programming_language)
"
"FreeBSD , URL: /wiki/FreeBSD
","IA-32 , URL: /wiki/IA-32
x86-64 , URL: /wiki/X86-64
ARM , URL: /wiki/ARM_architecture
MIPS , URL: /wiki/MIPS_architecture
PowerPC , URL: /wiki/PowerPC
others , URL: http://www.freebsd.org/doc/en_US.ISO8859-1/articles/committers-guide/archs.html
","UFS2 , URL: /wiki/Unix_file_system
ZFS , URL: /wiki/ZFS
ext2 , URL: /wiki/Ext2
ext3 , URL: /wiki/Ext3
FAT , URL: /wiki/File_Allocation_Table
ISO 9660 , URL: /wiki/ISO_9660
NFS , URL: /wiki/Network_File_System
","Monolithic with modules","6.25 million[10]","No","Ports collection , URL: /wiki/Ports_collection
","by source, network binary update (freebsdupdate)","BSD , URL: /wiki/BSD
","Win32 , URL: /wiki/Win32
"
"Genode , URL: /wiki/Genode
","ARM , URL: /wiki/ARM_architecture
RISC-V , URL: /wiki/RISC-V
IA-32 , URL: /wiki/IA-32
x86-64 , URL: /wiki/X86-64
","ext2 , URL: /wiki/Ext2
ext3 , URL: /wiki/Ext3
FAT32 , URL: /wiki/FAT32
ISO9660 , URL: /wiki/ISO9660
","Microkernel , URL: /wiki/Microkernel
Monolithic kernel , URL: /wiki/Monolithic_kernel
","≈300,000[citation needed]","No","Custom","None","Genode","MirageOS , URL: /wiki/MirageOS
"
"GhostBSD , URL: /wiki/GhostBSD
","IA-32 , URL: /wiki/IA-32
x86-64 , URL: /wiki/X86-64
","UFS2 , URL: /wiki/Unix_file_system
ext2 , URL: /wiki/Ext2
ext3 , URL: /wiki/Ext3
ReiserFS , URL: /wiki/ReiserFS
XFS , URL: /wiki/XFS
ZFS , URL: /wiki/ZFS
","Monolithic with modules","","Yes","Ports collection , URL: /wiki/Ports_collection
","by source, network binary update (freebsdupdate)","BSD , URL: /wiki/BSD
","Win32 , URL: /wiki/Win32
"
