"Family","Country","Manufac.","Payload (kg)","Payload (kg)","Payload (kg)","US$ , URL: /wiki/US$
","Launches reaching...","Launches reaching...","Launches reaching...","Launches reaching...","Status","Date of flight","Date of flight","Notes","Refs"
"Family","Country","Manufac.","LEO , URL: /wiki/Low_Earth_orbit
","GTO , URL: /wiki/Geostationary_transfer_orbit
","TLI , URL: /wiki/Trans_lunar_injection
","US$ , URL: /wiki/US$
","Total","Space","Any orbit","Target orbit","Status","First","Last","Notes","Refs"
"Agnibaan , URL: /wiki/Agnikul_Cosmos
","IND , URL: /wiki/India
","Agnikul Cosmos , URL: /wiki/AgniKul_Cosmos
","100","--","--","--","","","","","Devel.","2022","","Expected launch in 2022",""
"Alpha , URL: /wiki/Firefly_Alpha
","USA , URL: /wiki/United_States
UKR , URL: /wiki/Ukraine
","Firefly Aerospace , URL: /wiki/Firefly_Aerospace
","1,000","N/A","N/A","--","1[a]","0","0","0","Active","2021","","","[1]"
"Angara , URL: /wiki/Angara_(rocket)
","RUS , URL: /wiki/Russia
","Khrunichev , URL: /wiki/Khrunichev_State_Research_and_Production_Space_Center
","3,800","--","--","25","0","","","","Active","2014","","As of May 2020, only launch was a suborbital test in 2014.[2]","[3][4][5]"
"Angara , URL: /wiki/Angara_(rocket)
","RUS , URL: /wiki/Russia
","Khrunichev , URL: /wiki/Khrunichev_State_Research_and_Production_Space_Center
","14,600–35,000","3,600–12,500","--","--","3[b]","3","3","2","Active","2014","","","[3][6]"
"Antares , URL: /wiki/Antares_(rocket)
","USA , URL: /wiki/United_States
","Orbital ATK , URL: /wiki/Orbital_ATK
","8,000","--","--","80[citation needed]","16[c]","15","15","15","Active","2013","","Cygnus launcher. Var.: 110, 120, 130, 230, 230+","[7][8][9]"
"Ariane , URL: /wiki/Ariane_(rocket_family)
","EU , URL: /wiki/European_Union
","Aérospatiale , URL: /wiki/A%C3%A9rospatiale
","N/A","2,650","N/A","--","28","","","","Retired","1979","1989","","[10][11]"
"Ariane 4 , URL: /wiki/Ariane_4
","EU , URL: /wiki/European_Union
","Aérospatiale , URL: /wiki/A%C3%A9rospatiale
","7,000","4,720","N/A","--","116","","","","Retired","1988","2003","Var.: 40, 42P, 42L, 44P, 44L, 44LP","[11]"
"Ariane 5 , URL: /wiki/Ariane_5
","EU , URL: /wiki/European_Union
","Airbus , URL: /wiki/Airbus_Defence_and_Space
","21,000","10,735[12]","N/A","165–220","112[d]","110","110","107","Active","1996","","Var.: G, G+, GS, ECA, ES.","[13][14][15]"
"Ariane 6 , URL: /wiki/Ariane_6
","EU , URL: /wiki/European_Union
","Airbus , URL: /wiki/Airbus_Defence_and_Space
Safran , URL: /wiki/Safran
","21,650 (A64 var.)","11,500+ (A64 var.)","8,500 (A64 var.)","115","0","","","","Devel.","2022[16]","","Var.: Ariane 62, Ariane 64.","[17]"
"ASLV , URL: /wiki/Augmented_Satellite_Launch_Vehicle
","IND , URL: /wiki/India
","ISRO , URL: /wiki/ISRO
","150","--","--","--","4","","","","Retired","1987","1994","","[18]"
"Astra Rocket , URL: /wiki/Astra_(aerospace)
","USA , URL: /wiki/United_States
","Astra , URL: /wiki/Astra_(aerospace)
","50-150 (to SSO)","N/A","N/A","--","5[e]","2","1","1","Active","2020","","2 suborbital test launches in 2018.","[19]"
"Athena I & II , URL: /wiki/Athena_(rocket_family)
","USA , URL: /wiki/United_States
","Lockheed , URL: /wiki/Lockheed_Martin
ATK , URL: /wiki/Alliant_Techsystems
","2,065","--","295","--","7","","","","Retired","1995","2001","Launch Lunar Prospector.[20]","[21]"
"Atlas I , URL: /wiki/Atlas_I
","USA , URL: /wiki/United_States
","Lockheed , URL: /wiki/Lockheed_Martin
","5,900","2,340","--","--","514","","","","Retired","1957","1997","Launch Mercury. Atlas or Centaur upper stage.","[22][23][24][25]"
"Atlas II , URL: /wiki/Atlas_II
","USA , URL: /wiki/United_States
","Lockheed , URL: /wiki/Lockheed_Martin
","8,618","3,833","--","--","63","63","63","","Retired","1991","2004","","[26][27][28]"
"Atlas III , URL: /wiki/Atlas_III
","USA , URL: /wiki/United_States
","Lockheed , URL: /wiki/Lockheed_Martin
","10,759","4,609","--","--","6","6","6","","Retired","2003","2005","Var.: IIIA, IIIB","[29][30]"
"Atlas V , URL: /wiki/Atlas_V
","USA , URL: /wiki/United_States
","ULA , URL: /wiki/United_Launch_Alliance
","18,850","8,900","2,807","109–153","92[f]","92","92","92","Active","2002","","Launched Juno & New Horizons","[31][32]"
"Beta , URL: /wiki/Firefly_Beta
","USA , URL: /wiki/United_States
UKR , URL: /wiki/Ukraine
","Firefly Aerospace , URL: /wiki/Firefly_Aerospace
","4,000","--","--","--","0","","","","Devel.","2024","","","[33]"
