"Client","Microsoft Windows , URL: /wiki/Microsoft_Windows
","macOS , URL: /wiki/MacOS
","Linux , URL: /wiki/Linux
","BSDs , URL: /wiki/Berkeley_Software_Distribution
","Solaris , URL: /wiki/Solaris_(operating_system)
","Other"
"Cain and Abel , URL: /wiki/Cain_and_Abel_(software)
","Yes","No","No","No","No","No"
"Capsa , URL: /wiki/Capsa_(software)
","Yes","No","No","No","No","No"
"Carnivore , URL: /wiki/Carnivore_(software)
","Yes","No","No","No","No","No"
"Charles Web Debugging Proxy , URL: /wiki/Charles_Proxy
","Yes","Yes","Yes","?","?","?"
"CommView , URL: /wiki/CommView
","Yes","No","No","No","No","No"
"dSniff , URL: /wiki/DSniff
","?","Yes","Yes","Yes","Yes","?"
"EtherApe , URL: /wiki/EtherApe
","No","Yes","Yes","Yes","Yes","?"
"Ettercap , URL: /wiki/Ettercap_(computing)
","Yes","Yes","Yes","Yes","Yes","?"
"justniffer , URL: /wiki/Justniffer
","No","Yes","Yes","Yes","Yes","?"
"Kismet , URL: /wiki/Kismet_(software)
","Yes","Yes","Yes","Yes","?","?"
"Lanmeter , URL: /wiki/Lanmeter
","No","No","No","No","No","Fluke , URL: /wiki/Fluke_Corporation
"
"netsniff-ng , URL: /wiki/Netsniff-ng
","No","No","Yes","No","No","No"
"ngrep , URL: /wiki/Ngrep
","Yes","Yes","Yes","Yes","Yes","AIX , URL: /wiki/AIX
BeOS , URL: /wiki/BeOS
HP-UX , URL: /wiki/HP-UX
IRIX , URL: /wiki/IRIX
Tru64 UNIX , URL: /wiki/Tru64_UNIX
"
"Microsoft Network Monitor , URL: /wiki/Microsoft_Network_Monitor
","Yes","No","No","No","No","No"
"OmniPeek , URL: /wiki/OmniPeek
","Yes","No","No","No","No","No"
"snoop , URL: /wiki/Snoop_(software)
","No","No","No","No","Yes","No"
"tcpdump , URL: /wiki/Tcpdump
","Yes (WinDump)","Yes","Yes","Yes","Yes","AIX , URL: /wiki/AIX
HP-UX , URL: /wiki/HP-UX
IRIX , URL: /wiki/IRIX
Tru64 UNIX , URL: /wiki/Tru64_UNIX
"
"Wireshark , URL: /wiki/Wireshark
","Yes","Yes","Yes","Yes","Yes","AIX , URL: /wiki/AIX
HP-UX , URL: /wiki/HP-UX
IRIX , URL: /wiki/IRIX
Tru64 UNIX , URL: /wiki/Tru64_UNIX
"
"Xplico , URL: /wiki/Xplico
","No","No","Yes","No","No","No"
