"Name","Creator","Host CPU","Guest CPU","Host OS","Guest OS","License"
"bhyve , URL: /wiki/Bhyve
","FreeBSD , URL: /wiki/FreeBSD
","x86-64","x86 , URL: /wiki/X86
","FreeBSD , URL: /wiki/FreeBSD
Illumos , URL: /wiki/Illumos
","FreeBSD , URL: /wiki/FreeBSD
FreeNAS , URL: /wiki/FreeNAS
pfSense , URL: /wiki/PfSense
OpenBSD , URL: /wiki/OpenBSD
Linux , URL: /wiki/Linux
Windows , URL: /wiki/Windows
Illumos , URL: /wiki/Illumos
","BSD , URL: /wiki/BSD_licenses
"
"Bochs , URL: /wiki/Bochs
","Kevin J. Lawton","Any","x86 , URL: /wiki/X86
","Windows , URL: /wiki/Windows
Linux , URL: /wiki/Linux
FreeBSD , URL: /wiki/FreeBSD
Unix , URL: /wiki/Unix
X11 , URL: /wiki/X_Window_System
macOS , URL: /wiki/MacOS
BeOS , URL: /wiki/BeOS
MorphOS , URL: /wiki/MorphOS
OS/2 , URL: /wiki/OS/2
","Windows , URL: /wiki/Windows
Linux , URL: /wiki/Linux
DOS , URL: /wiki/DOS
BSD , URL: /wiki/Berkeley_Software_Distribution
OS/2 , URL: /wiki/OS/2
Haiku , URL: /wiki/Haiku_(operating_system)
","LGPL , URL: /wiki/LGPL
"
"Containers, or Zones , URL: /wiki/Solaris_Containers
","Sun Microsystems , URL: /wiki/Sun_Microsystems
","SPARC , URL: /wiki/SPARC
","Same as host","Solaris 10, Solaris 11 , URL: /wiki/Solaris_(operating_system)
OpenSolaris , URL: /wiki/OpenSolaris
illumos distributions , URL: /wiki/Illumos#Current_Illumos_distributions
","illumos , URL: /wiki/Illumos
BrandZ , URL: /wiki/Branded_zones
","CDDL , URL: /wiki/CDDL
"
"Cooperative Linux , URL: /wiki/Cooperative_Linux
","Dan Aloni , URL: /wiki/Dan_Aloni
","x86","Same as host","Windows 2000, XP, 2003, Vista","Linux","GPL version 2 , URL: /wiki/Gpl_version_2
"
"CHARON , URL: /wiki/Charon_(software)
","Stromasys , URL: /w/index.php?title=Stromasys&action=edit&redlink=1
","x86, x86-64","PDP-11 , URL: /wiki/PDP-11
VAX , URL: /wiki/VAX
HP3000 , URL: /wiki/HP3000
","Windows, Linux","VMS, OpenVMS, Tru64 UNIX, MPE/iX, RSX-11, RT11, RSTS, Solaris, SunOS","Proprietary , URL: /wiki/Proprietary_software
"
"Denali , URL: /wiki/Denali_(operating_system)
","University of Washington , URL: /wiki/University_of_Washington
","x86","x86","Denali","Ilwaco , URL: /w/index.php?title=Ilwaco_(operating_system)&action=edit&redlink=1
","Not distributed"
"DOSBox , URL: /wiki/DOSBox
","Peter Veenstra, Sjoerd with community","Any","x86","classic Mac OS , URL: /wiki/Classic_Mac_OS
QNX , URL: /wiki/QNX
Maemo , URL: /wiki/Maemo
","PC booter , URL: /wiki/PC_booter
","GPL , URL: /wiki/GPL
"
"DOSEMU , URL: /wiki/Dosemu
","Community project","x86, x86-64","x86","Linux","DOS","GPL version 2 , URL: /wiki/Gpl_version_2
"
"FreeBSD Jail , URL: /wiki/FreeBSD_Jail
","Poul-Henning Kamp , URL: /wiki/Poul-Henning_Kamp
FreeBSD , URL: /wiki/FreeBSD
","FreeBSD , URL: /wiki/FreeBSD
DragonFly BSD , URL: /wiki/DragonFly_BSD
","Same as host","FreeBSD , URL: /wiki/FreeBSD
DragonFly BSD , URL: /wiki/DragonFly_BSD
","Linux , URL: /wiki/Linux
ABI , URL: /wiki/Application_binary_interface
compat layer , URL: /wiki/FreeBSD#OS_compatibility_layers
","BSD , URL: /wiki/BSD_licenses
"
