"Name","Manufacturer","Release","Size","Type","Capacity (GB)[1]","Storage","External","Dimensions (mm × mm)","Depth (mm)","Weight (g)","Firmware"
"Archos 105 , URL: /wiki/Archos_105
","Archos , URL: /wiki/Archos
","2007-08-31[2]","","DAP , URL: /wiki/Digital_audio_player
","0002 2","Flash , URL: /wiki/Flash_memory
","SDHC , URL: /wiki/Secure_Digital_card#SDHC
","85 × 45","7","50[4]","1.6.07[5]"
"Archos 405 , URL: /wiki/Archos_405
","Archos , URL: /wiki/Archos
","2007-09-01[6]","Mini","PMP , URL: /wiki/Portable_media_player
","0002 2","Flash","SDHC[3]","99.6 × 78","13.2","119.07","1.8.03[7][8]"
"Archos 405 , URL: /wiki/Archos_405
","Archos , URL: /wiki/Archos
","2008-02-07[9]","Mini","PMP , URL: /wiki/Portable_media_player
","0030 30","HDD , URL: /wiki/Hard_disk
","","100 × 78","15","191","1.8.03[7][8]"
"Archos 5 , URL: /wiki/Archos_Generation_6
","Archos , URL: /wiki/Archos
","2008-08-19","Mid","PMP","0500 120/500","HDD","8–32 GB and Micro SD Slot (SDHC compatible)","127 × 78.8","19.4","300","1.6.53[10]"
"Archos 605 WiFi , URL: /wiki/Archos_605_WiFi
GPS , URL: /wiki/Archos_Generation_5#605_GPS
","Archos , URL: /wiki/Archos
","2007-09-01[11]","Mid","PMP","0004 4","Flash","SDHC[3]","122 × 81","15","150","1.8.03[12][13]"
"Archos 605 WiFi , URL: /wiki/Archos_605_WiFi
GPS , URL: /wiki/Archos_Generation_5#605_GPS
","Archos , URL: /wiki/Archos
","2007-09-01[11]","Mid","PMP","0160 30/80/160","HDD","","122 × 81","15","190","1.8.03[12][13]"
"Archos 705 WiFi , URL: /wiki/Archos_705_WiFi
","Archos , URL: /wiki/Archos
","2007-11-27[14]","Mega","PMP","0160 80/160","HDD","","182 × 128","19.69","630","1.8.03[15]"
"Cowon A3 , URL: /wiki/Cowon_A3
","Cowon , URL: /wiki/Cowon
","2007-11-14[16]","Mid","PMP","0080 30/60/80","HDD","","133.4 × 78.5","22","280","1.24[17]"
"Cowon D2 , URL: /wiki/Cowon#Cowon_D2
","Cowon , URL: /wiki/Cowon
","2006-12-05[18]","Micro","PMP","0016 2/4/8/16","Flash","SDHC[3]","78.0 × 55.4","16.6","91.0","2.57[19]"
"Cowon Q5W , URL: /wiki/Cowon#Cowon_Q5W
","Cowon , URL: /wiki/Cowon
","2007-11-30[20]","Mid","PMP","0080 40/60/80","HDD","","138.8 × 88.5","20","380","1.5[21]"
"Cowon O2PMP , URL: /wiki/Cowon#Cowon_O2PMP
","Cowon , URL: /wiki/Cowon
","","Mid","PMP","0032 8/16/32","Flash","","119 × 73","18","205",""
"Gigabeat T-Series , URL: /wiki/Toshiba_Gigabeat#Gigabeat_T
","Toshiba , URL: /wiki/Toshiba
","2007-09-25[22]","Micro","PMP","0004 4","Flash","","2.13 × 3.38","15","58.11","No release"
"GP2X F-200 , URL: /wiki/GP2X
","GamePark Holdings , URL: /wiki/GamePark_Holdings
","2007-10-28[23]","Mid","HGC , URL: /wiki/Handheld_game_console
","0064 64","","SDHC[3]","144 × 83","34","161","4.0.0[24]"
"iPod , URL: /wiki/IPod
","Apple , URL: /wiki/Apple_Inc.
","2001[25]","","","","","","","","",""
