"Name","H.264 , URL: /wiki/H.264/MPEG-4_AVC
","ASF , URL: /wiki/Advanced_Systems_Format
","WMV , URL: /wiki/Windows_Media_Video
","DivX , URL: /wiki/DivX
Xvid , URL: /wiki/Xvid
","MPEG-4 , URL: /wiki/MPEG-4_Part_2
","AVI , URL: /wiki/Audio_Video_Interleave
","QuickTime , URL: /wiki/QuickTime_Video
","Other formats"
"Archos 105","No","No","Yes","No","No","No","No","No"
"Archos 405","No[90]","No","Yes","No","Yes","Yes","No[90]","MPEG-2 , URL: /wiki/MPEG-2
"
"Archos 5","No[90]","No","Yes","Yes","Yes","Yes","No[90]","MPEG-2 , URL: /wiki/MPEG-2
MKV , URL: /wiki/Matroska
"
"Archos 605 WiFi / GPS","No[90]","No","Yes","Yes","Yes","Yes","No[90]","MPEG-2 , URL: /wiki/MPEG-2
"
"Archos 705 WiFi","No[90]","No","Yes","Yes","Yes","Yes","No[90]","MPEG-2 , URL: /wiki/MPEG-2
"
"Cowon A3","Yes","Yes","Yes","Yes","Yes","Yes","No","MKV , URL: /wiki/Matroska
MTV , URL: /wiki/MP4_player#MTV
OGM , URL: /wiki/OGM
VOB , URL: /wiki/VOB
AMV , URL: /wiki/AMV_video_format
MJPEG , URL: /wiki/MJPEG
MPEG-1 , URL: /wiki/MPEG-1_Part_2
"
"Cowon D2","No","No","Yes","No[95]","No","Yes","No","No"
"Cowon Q5W","No","Yes","Yes","Yes","Yes","Yes","No","OGM"
"Gigabeat T-Series","No","Yes","Yes","No[96]","No[96]","No[96]","No[96]","No"
"GP2X F-200","No","No","No[91]","Yes","Yes","Yes","No","No"
"iPod (before Nano 6G; iPod 6G does)","Yes","No","No","with plugin","Yes","with plugin","Yes","No"
"iriver clix 2G","No","Yes","Yes","Yes","Yes","Yes","No","No"
"PSP Slim & Lite","Yes","No","No","No","Yes","No","No","MJPEG"
"Rio PMP300","No","No","No","No","Yes","No","No","No"
"Samsung Galaxy Player","Yes","Yes","Yes","Yes","Yes","Yes","No","MKV"
"Samsung T10","No","No","Yes",".svi only","Yes","No","No","No"
"Samsung P2","No","No","Yes",".svi only","Yes","No","No","No"
"Sansa Fuze","No","No","No","No","No","Yes","No","No"
"Sansa Fuze+","Yes[97]","No","Yes","No","No","No","No","MPEG-4 Part 14 , URL: /wiki/MPEG-4_Part_14
"
"Walkman NWZ-A810 series","Yes","No","No","No","Yes","No","No","No"
"ZEN","No[96]","No","Yes","Yes","No[96]","Yes","No","MJPEG"
"ZEN Vision W","No[96]","No","Yes","Yes","No[96]","Yes","No","MJPEG"
"Zune","Yes","No","Yes","Yes","Yes","Yes","No","DVR-MS , URL: /wiki/DVR-MS
"
"ZVUE 260","No","Yes","Yes","Xvid only","Yes","Yes","No","No"
