"Format","","Languages","Format string syntax"
"associate(file, string); putf(file, $formatstring$, items)","","ALGOL 68 , URL: /wiki/ALGOL_68
","ALGOL"
"Format(item, formatstring)","","VB , URL: /wiki/Visual_Basic_(classic)
",""
"sprintf(formatstring, items)","","Perl , URL: /wiki/Perl
PHP , URL: /wiki/PHP
Raku , URL: /wiki/Raku_(programming_language)
Ruby , URL: /wiki/Ruby_(programming_language)
","C"
"item.fmt(formatstring)","","Raku , URL: /wiki/Raku_(programming_language)
","C"
"io_lib:format(formatstring, items)","","Erlang , URL: /wiki/Erlang_(programming_language)
",""
"sprintf(outputstring, formatstring, items)","","C , URL: /wiki/C_(programming_language)
","C"
"std::format(formatstring, items)","","C++ , URL: /wiki/C%2B%2B
C++20 , URL: /wiki/C%2B%2B20
","Python"
"std.string.format(formatstring, items)","","D , URL: /wiki/D_(programming_language)
","C"
"Format(formatstring, items)","","Object Pascal , URL: /wiki/Object_Pascal
Delphi , URL: /wiki/Delphi_(programming_language)
",""
"fmt.Sprintf(formatstring, items)","","Go , URL: /wiki/Go_(programming_language)
","C"
"printf -v outputstring formatstring items","","Bash shell , URL: /wiki/Bash_shell
","C"
"formatstring % (items)","","Python , URL: /wiki/Python_(programming_language)
Ruby , URL: /wiki/Ruby_(programming_language)
","C"
"formatstring.format(items)","","Python , URL: /wiki/Python_scripting_language
",".NET"
"fformatstring","","Python 3 , URL: /wiki/Python_3
",""
"Printf.sprintf formatstring[21] items","","OCaml , URL: /wiki/OCaml
F# , URL: /wiki/F_Sharp_(programming_language)
","C"
"Text.Printf.printf formatstring items","","Haskell , URL: /wiki/Haskell_(programming_language)
","C"
"formatstring printf: items","","Smalltalk , URL: /wiki/Smalltalk
","C"
"String.format(formatstring, items)","","Java , URL: /wiki/Java_(programming_language)
","C"
"String.Format(formatstring, items)","","VB .NET , URL: /wiki/Visual_Basic_.NET
C# , URL: /wiki/C_Sharp_(programming_language)
F# , URL: /wiki/F_Sharp_(programming_language)
",".NET"
"(format formatstring items)","","Scheme , URL: /wiki/Scheme_(programming_language)
","Lisp"
"(format nil formatstring items)","","Common Lisp , URL: /wiki/Common_Lisp
","Lisp"
"(format formatstring items)","","Clojure , URL: /wiki/Clojure
","Lisp"
"formatstring -f items","","Windows PowerShell , URL: /wiki/Windows_PowerShell
",".NET"
"[NSString stringWithFormat:formatstring, items]","","Objective-C , URL: /wiki/Objective-C
","C"
"String(format:formatstring, items)","","Swift , URL: /wiki/Swift_(programming_language)
","C"
"string.format(formatstring, items) (formatstring):format(items)","","Lua , URL: /wiki/Lua_(programming_language)
","C"
"WRITE (outputstring, formatstring) items","","Fortran , URL: /wiki/Fortran
","Fortran"
"put string(string) edit(items)(format)","","PL/I , URL: /wiki/PL/I
","PL/I (similar to Fortran)"
"String.format(formatstring, items)","","Cobra , URL: /wiki/Cobra_(programming_language)
",".NET"
"format formatstring items","","Tcl , URL: /wiki/Tcl
","C"
"formatnumbers ⍕ items or formatstring ⎕FMT items","","APL , URL: /wiki/APL_(programming_language)
","APL"
"format!(formatstring, items)","","Rust , URL: /wiki/Rust_(programming_language)
","Python"
