"Format","Languages"
"string[startpos:endpos]","ALGOL 68 , URL: /wiki/ALGOL_68
"
"string (startpos .. endpos)","Ada , URL: /wiki/Ada_(programming_language)
"
"Mid(string, startpos, numChars)","VB , URL: /wiki/Visual_Basic_(classic)
"
"mid(string, startpos, numChars)","FreeBASIC , URL: /wiki/FreeBASIC
"
"string[startpos+(⍳numChars)-~⎕IO]","APL , URL: /wiki/APL_(programming_language)
"
"MID$(string, startpos, numChars)","BASIC , URL: /wiki/BASIC
"
"substr(string, startpos, numChars)","AWK , URL: /wiki/AWK
Perl 5 , URL: /wiki/Perl_5
PHP , URL: /wiki/PHP
"
"substr(string, startpos, numChars) string.substr(startpos, numChars)","Raku , URL: /wiki/Raku_(programming_language)
"
"substr(string, startpos «,numChars, padChar»)","Rexx , URL: /wiki/Rexx
"
"string[startpos:endpos]","Cobra , URL: /wiki/Cobra_(programming_language)
Python , URL: /wiki/Python_(programming_language)
Go , URL: /wiki/Go_(programming_language)
"
"string[startpos, numChars]","Pick Basic , URL: /wiki/Pick_Basic
"
"string[startpos, numChars] string[startpos .. endpos-1] string[startpos ... endpos]","Ruby , URL: /wiki/Ruby_(programming_language)
"
"string[startpos .. endpos] string[startpos len numChars]","Seed7 , URL: /wiki/Seed7
"
"string.slice(startpos«, endpos»)","JavaScript , URL: /wiki/JavaScript
"
"string.substr(startpos«, numChars»)","C++ , URL: /wiki/C%2B%2B
JavaScript , URL: /wiki/JavaScript
"
"string.Substring(startpos, numChars)","VB .NET , URL: /wiki/Visual_Basic_.NET
C# , URL: /wiki/C_Sharp_(programming_language)
Windows PowerShell , URL: /wiki/Windows_PowerShell
F# , URL: /wiki/F_Sharp_(programming_language)
"
"string.substring(startpos«, endpos»)","Java , URL: /wiki/Java_(programming_language)
JavaScript , URL: /wiki/JavaScript
"
"copy(string, startpos, numChars)","Object Pascal , URL: /wiki/Object_Pascal
Delphi , URL: /wiki/Delphi_(programming_language)
"
"(substring string startpos endpos)","Scheme , URL: /wiki/Scheme_(programming_language)
"
"(subseq string startpos endpos)","Common Lisp , URL: /wiki/Common_Lisp
"
"(subseq string startpos endpos)","ISLISP , URL: /wiki/ISLISP
"
"String.sub string startpos numChars","OCaml , URL: /wiki/OCaml
"
"substring (string, startpos, numChars)","Standard ML , URL: /wiki/Standard_ML
"
"string:sub_string(string, startpos, endpos) string:substr(string, startpos, numChars)","Erlang , URL: /wiki/Erlang_(programming_language)
"
"strncpy(result, string + startpos, numChars);","C , URL: /wiki/C_(programming_language)
"
"string[startpos .. endpos+1]","D , URL: /wiki/D_(programming_language)
"
"take numChars $ drop startpos string","Haskell , URL: /wiki/Haskell_(programming_language)
"
"[string substringWithRange:NSMakeRange(startpos, numChars)]","Objective-C , URL: /wiki/Objective-C
"
"string.[startpos..endpos]","F# , URL: /wiki/F_Sharp_(programming_language)
"
"string.sub(string, startpos, endpos) (string):sub(startpos, endpos)","Lua , URL: /wiki/Lua_(programming_language)
"
"string copyFrom: startpos to: endpos","Smalltalk , URL: /wiki/Smalltalk
"
"string(startpos:endpos)","Fortran , URL: /wiki/Fortran
"
"SUBSTRING(string FROM startpos «FOR numChars»)","SQL , URL: /wiki/SQL
"
"StringTake[string, {startpos, endpos}]","Mathematica , URL: /wiki/Mathematica
"
"string (startpos:numChars)","COBOL , URL: /wiki/COBOL
"
"string range string startpos endpos","Tcl , URL: /wiki/Tcl
"
"string[startpos..endpos] string.get(startpos..endpos)","Rust , URL: /wiki/Rust_(programming_language)
"
