"Software","Budget management , URL: /wiki/Budget_management
","Time tracking","Invoicing , URL: /wiki/Invoicing
"
"24SevenOffice , URL: /wiki/24SevenOffice
","Yes","Yes","Yes"
"Actionspace , URL: /wiki/Actionspace
","No","Yes","No"
"AnyChart , URL: /wiki/AnyChart
","No","Yes","No"
"Apache Allura , URL: /wiki/Apache_Allura
","No","No","No"
"Apache OFBiz , URL: /wiki/Apache_OFBiz
","Yes","Yes","Yes"
"Apache Bloodhound , URL: /wiki/Apache_Bloodhound
","No","No","No"
"Asana , URL: /wiki/Asana_(software)
","No","Yes","No"
"Assembla , URL: /wiki/Assembla
","No","Yes","No"
"Axosoft , URL: /wiki/Axosoft
","No","Yes","No"
"Basecamp , URL: /wiki/Basecamp_(company)
","No","No","No"
"BigGantt , URL: /wiki/BigGantt
","No","Yes","No"
"BigPicture , URL: /wiki/BigPicture
","No","Yes","No"
"Calligra Plan , URL: /wiki/Calligra_Plan
","No","No","No"
"CEITON , URL: /wiki/CEITON
","Yes","Yes","Yes"
"Clarizen , URL: /wiki/Clarizen
","Yes","Yes","No"
"ConceptDraw Project , URL: /wiki/ConceptDraw_Project
","Yes [32]","Yes [33]","No"
"Copper Project , URL: /wiki/Copper_Project
","Yes","Yes","Yes"
"dotProject , URL: /wiki/DotProject
","No","Yes [34]","Yes [34]"
"DynaRoad , URL: /wiki/DynaRoad
","Yes","Yes","No"
"Easy projects , URL: /wiki/Easy_projects
","Yes","Yes","Yes"
"eGroupWare , URL: /wiki/EGroupWare
","No","Yes","No"
"enQuire , URL: /wiki/EnQuire
","Yes","Yes","Yes"
"FastTrack Schedule , URL: /wiki/FastTrack_Schedule
","No","No","No"
"Feng Office Community Edition , URL: /wiki/Feng_Office_Community_Edition
","No","Yes","Yes"
"FinancialForce.com , URL: /wiki/FinancialForce.com
","No","Yes","Yes"
"FogBugz , URL: /wiki/FogBugz
","No","Yes","No"
"FusionForge , URL: /wiki/FusionForge
","No","Yes","No"
"GanttProject , URL: /wiki/GanttProject
","No","No","No"
"Genius Project , URL: /wiki/Genius_Project
","Yes","Yes","Yes"
"GroveSite , URL: /wiki/GroveSite
","No","No","No"
"Hall.com , URL: /wiki/Hall.com_(software)
","No","No","No"
"Helix ALM , URL: /wiki/Helix_ALM
","No","Yes","No"
"HeySpace , URL: /wiki/HeySpace
","No","No","No"
