"","Windows , URL: /wiki/Microsoft_Windows
","macOS , URL: /wiki/MacOS
","Linux , URL: /wiki/Linux
","iOS , URL: /wiki/IOS_(Apple)
","BSD , URL: /wiki/BSD
","Unix , URL: /wiki/Unix
","AmigaOS , URL: /wiki/AmigaOS
","Other"
"Ability Photopaint , URL: /wiki/Ability_Photopaint
","Yes","No","No","","No","No","No","No"
"ACD Canvas , URL: /wiki/ACD_Canvas
","Yes","Yes[11]","No","","No","No","No","No"
"ACDSee , URL: /wiki/ACDSee
","Yes","Yes","No","","No","No","No","No"
"Acorn Image Editor , URL: /wiki/Acorn_Image_Editor
","No","Yes","No","","No","No","No","No"
"Adobe Fireworks , URL: /wiki/Adobe_Fireworks
","Yes","Yes","No","","No","No","No","No"
"Adobe Photoshop , URL: /wiki/Adobe_Photoshop
","Yes","Yes","No","Yes (iPad)","No","No","No","No"
"Adobe Photoshop Lightroom , URL: /wiki/Adobe_Photoshop_Lightroom
","Yes","Yes","No","","No","No","No","No"
"Affinity Photo , URL: /wiki/Affinity_Photo
","Yes","Yes","No","Yes (iPad)","No","No","No","No"
"Aperture , URL: /wiki/Aperture_(photography_software)
","No","Yes[12]","No","","No","No","No","No"
"Autodesk SketchBook Pro , URL: /wiki/Autodesk_SketchBook_Pro
","Yes","Yes","No","Yes","No","No","No","Android , URL: /wiki/Android_(operating_system)
"
"Artipic , URL: /wiki/Artipic
","Yes","Yes","No","","No","No","No","No"
"ArtRage , URL: /wiki/ArtRage
","Yes","Yes","No","Yes","No","No","No","Android , URL: /wiki/Android_(operating_system)
"
"Artweaver , URL: /wiki/Artweaver
","Yes","No","No","","No","No","No","No"
"Bibble , URL: /wiki/Bibble_(software)
","Yes","Yes","Yes","","No","No","No","No"
"Black Ink","Yes","No","No","","No","No","No","No"
"Bloom Image Editor , URL: /wiki/Bloom_Image_Editor
","Yes","Yes","Yes","","No","No","No","No"
"Brush Strokes Image Editor , URL: /wiki/Brush_Strokes_Image_Editor
","Yes","No","No","","No","No","No","No"
"Capture One , URL: /wiki/Capture_One
","Yes","Yes","No","","No","No","No","No"
"Chasys Draw IES , URL: /wiki/Chasys_Draw_IES
","Yes","No","No","","No","No","No","No"
"CinePaint , URL: /wiki/CinePaint
","Version 0.17 only","Yes","Yes","","Yes","Yes","No","No"
"CodedColor PhotoStudio Pro , URL: /wiki/CodedColor_PhotoStudio_Pro
","Yes","No","No","","No","No","No","No"
"Corel PaintShop Pro , URL: /wiki/Corel_PaintShop_Pro
","Yes","No","No","","No","No","No","No"
"Corel Painter , URL: /wiki/Corel_Painter
","Yes","Yes","No","","No","No","No","No"
"Corel Photo-Paint , URL: /wiki/Corel_Photo-Paint
","Yes","No","No","","No","No","No","No"
"darktable , URL: /wiki/Darktable
","Yes","Yes","Yes","","Yes","No","No","Solaris , URL: /wiki/Solaris_(operating_system)
"
