"Software","Developer","First public release","Latest stable release date","Latest stable version","Cost (USD)","Free software , URL: /wiki/Free_software
","License","Notes"
"Bebop , URL: /wiki/Bebop_(software)
","ALaRI Institute , URL: /wiki/Advanced_Learning_and_Research_Institute
","2007-11-08","2009-11-10","1.1","Free","Yes","BSD , URL: /wiki/BSD_licenses
","web-based BibTeX front-end (Apache, PHP, MySQL)"
"BibBase , URL: /wiki/BibBase
","Christian Fritz","2005","2013-07","v3","Free","No","Proprietary , URL: /wiki/Proprietary_software
","centrally hosted website, intended for publication pages"
"BibDesk , URL: /wiki/BibDesk
","BibDesk developers","2002-04","2021-08-15","1.8.3","Free","Yes","BSD , URL: /wiki/BSD_licenses
","BibTeX , URL: /wiki/BibTeX
Cocoa , URL: /wiki/Cocoa_(API)
Spotlight , URL: /wiki/Spotlight_(software)
"
"Biblioscape , URL: /wiki/Biblioscape
","CG Information","1997","2015-06-22","10.0.3.6","US$ , URL: /wiki/US$
","No","Proprietary , URL: /wiki/Proprietary_software
","ODBC , URL: /wiki/ODBC
"
"BibSonomy , URL: /wiki/BibSonomy
","University of Kassel , URL: /wiki/University_of_Kassel
","2006-01","2019-12-11","3.9.2","Free","Yes","AGPL , URL: /wiki/GNU_Affero_General_Public_License
GPL , URL: /wiki/GNU_General_Public_License
LGPL , URL: /wiki/GNU_Lesser_General_Public_License
","centrally hosted website"
"Bibus , URL: /wiki/Bibus
","Bibus developers","2004-06-03","2013-05-23","1.5.1","Free","Yes","GNU GPL , URL: /wiki/GNU_General_Public_License
","discontinued?"
"Bookends , URL: /wiki/Bookends_(software)
","Sonny Software","1988 (Mac) / 1983 (Apple II+)","2021-01-23","13.5.1[3]","US$ , URL: /wiki/US$
","No","Proprietary , URL: /wiki/Proprietary_software
","Desktop & iOS synced via iCloud, integrated web search, PDF download, auto-completion, Word plugin, BibTex support, PDF annotations stored as notes"
"Citavi , URL: /wiki/Citavi
","QSR International[4]","2006-02-13","2022-01-05","6.11.0.0","US$ , URL: /wiki/US$
","No","Proprietary , URL: /wiki/Proprietary_software
","Microsoft SQL Server , URL: /wiki/Microsoft_SQL_Server
"
"CiteULike , URL: /wiki/CiteULike
","Oversity Limited","2004-11","Shut down in 2019-03-30[8]","","Free","No","proprietary , URL: /wiki/Proprietary_software
","centrally hosted website"
"colwiz , URL: /wiki/Colwiz
","colwiz Ltd","2011","2016-05-09","","Free / Online storage free up to 3 GB / Additional storage space available","No","Proprietary , URL: /wiki/Proprietary_software
","Now combined with wizdom.ai"
