"Software","BibTeX , URL: /wiki/BibTeX
","Copac , URL: /wiki/Copac
","CSA , URL: /wiki/CSA_(database_company)
","Endnote , URL: /wiki/EndNote
Refer , URL: /wiki/Refer_(software)
BibIX , URL: /w/index.php?title=BibIX&action=edit&redlink=1
","ISI , URL: /wiki/Information_Sciences_Institute
","Medline , URL: /wiki/Medline
","MODS XML , URL: /wiki/Metadata_Object_Description_Schema
","Ovid , URL: /wiki/Ovid_Technologies
","PubMed , URL: /wiki/PubMed
","RIS , URL: /wiki/RIS_(file_format)
","SciFinder , URL: /wiki/SciFinder
","Other"
"Bebop","Yes","No","No","No","No","No","No","No","No","No","No","none"
"BibBase","Yes","No","No","No","No","No","No","No","No","No","No","none"
"BibDesk","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","MARC, JSTOR, Reference Miner"
"Biblioscape","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","?"
"BibSonomy","Yes","No","No","Yes","No","No","No","No","No","No","No","Firefox , URL: /wiki/Firefox
"
"Bibus","Yes","No","No","Yes","Yes","Yes","No","No","No","Yes","No","none"
"Bookends","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","[3] , URL: http://www.sonnysoftware.com/
"
"Citavi","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","various"
"CiteULike","Yes","No","No","No","No","No","No","No","No","Yes","No","none"
"colwiz","Yes","No","No","Yes","Yes","Yes","No","No","Yes","Yes","No","with built-in browser, bookmarklet"
"EndNote","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","various[23]"
"JabRef","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","BibTexML , URL: /w/index.php?title=BibTexML&action=edit&redlink=1
Biblioscape , URL: /wiki/Biblioscape
Biomail , URL: /w/index.php?title=Biomail&action=edit&redlink=1
Inspec , URL: /wiki/Inspec
JSTOR , URL: /wiki/JSTOR
MSBib , URL: /w/index.php?title=MSBib&action=edit&redlink=1
REPEC (NEP) , URL: /wiki/Research_Papers_in_Economics
SilverPlatter , URL: /wiki/SilverPlatter
SixPack , URL: /w/index.php?title=SixPack&action=edit&redlink=1
"
"KBibTeX","Yes","No","No","Yes","No","No","Depends[20]","No","Yes","Yes","No","none"
"Mendeley","Yes","No","No","Yes","No","No","No","No","No","Yes","No","Browser , URL: /wiki/Web_browser
"
"Paperpile","Yes","No","No","No","No","No","No","No","No","Yes","No","PDF"
"Pybliographer","Yes","No","No","Yes","Yes","Yes","No","Yes","No","No","No","none"
"Qiqqa","Yes","No","No","Yes","No","No","No","No","Yes","No","No","none"
"ReadCube (now Papers)","Yes","No","No","Yes","No","No","No","No","Yes","Yes","No","PDF"
"refbase","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","RefWorks , URL: /wiki/RefWorks
"
"RefDB","Yes","Yes[20]","No","Yes[20]","Yes[20]","Yes","Yes","No","Yes","Yes","Yes[20]","MARC , URL: /wiki/MARC_standards
"
"Reference Manager","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","various;[24] user-customizable"
"Referencer","Yes","No","No","Yes","No","No","Yes","No","No","Yes","No","none"
"RefME","?","?","?","?","?","?","?","?","?","?","?","?"
"RefWorks","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","various[25]"
"SciRef","No","No","No","Yes","No","No","No","No","No","Yes","No","?"
"Sente","Yes","No","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Dublin Core, Marc21 SUTRS, JSTOR, SilverPlatter"
"Wikindx","Yes","No","No","Yes","No","No","No","Yes","Yes","No","No","BibReX LaTeX"
"WizFolio","No","No","No","No","No","No","No","No","No","Yes","No","Internet Browser bookmarks[26]"
"Zotero[27]","Yes","No[28]","No[28]","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","COinS , URL: /wiki/COinS
MARC , URL: /wiki/MARC_standards
RDF , URL: /wiki/Resource_Description_Framework
unAPI , URL: /wiki/UnAPI
Browser , URL: /wiki/Web_browser
"
