"Software","HTML , URL: /wiki/HTML
","LaTeX , URL: /wiki/LaTeX
","RTF , URL: /wiki/Rich_Text_Format
","Plain text , URL: /wiki/Plain_text
","RSS , URL: /wiki/RSS
","Other"
"Bebop","Yes","No","No","No","Yes","unAPI , URL: /wiki/UnAPI
"
"BibBase","Yes","No","No","No","Yes","No"
"BibDesk","Yes","Yes","Yes","Yes","Yes","Atom , URL: /wiki/Atom_(standard)
DOC , URL: /wiki/DOC_(computing)
PDF , URL: /wiki/PDF
XML , URL: /wiki/XML
"
"Biblioscape","Yes","No","Yes","Yes","No","No"
"BibSonomy","Yes","No","Yes","Yes","Yes","OpenOffice-CSV , URL: /wiki/Comma-separated_values
"
"Bibus","Yes","No","No","No","No","No"
"Bookends","Yes","No","Yes","Yes","No","clipboard , URL: /wiki/Clipboard_(software)
"
"Citavi","Yes","Yes[30]","Yes","Yes","No","clipboard , URL: /wiki/Clipboard_(software)
DOC , URL: /wiki/DOC_(computing)
ODT , URL: /wiki/OpenDocument
PDF , URL: /wiki/PDF
HTML , URL: /wiki/HTML
"
"CiteULike","Yes","No","Yes","Yes","Yes","PDF , URL: /wiki/PDF
"
"colwiz","Yes","Yes","Yes","No","No","PDF , URL: /wiki/PDF
"
"EndNote","Yes","No","Yes","Yes","No","clipboard , URL: /wiki/Clipboard_(software)
XML , URL: /wiki/XML
"
"JabRef","Yes","Yes","Yes","Yes","No","clipboard , URL: /wiki/Clipboard_(software)
"
"KBibTeX","Yes","No","Yes","No","No","PDF , URL: /wiki/PDF
PS , URL: /wiki/PostScript
"
"Mendeley","Yes","Yes[31]","Yes","Yes","Yes","clipboard , URL: /wiki/Clipboard_(software)
"
"Paperpile","?","?","?","?","?","?"
"Pybliographer","Yes","?","No","Yes","No","No"
"Qiqqa","?","?","?","?","?","?"
"ReadCube (now Papers)","Yes","No","No","No","No","PDF , URL: /wiki/PDF
"
"refbase","Yes","Yes","Yes","Yes","Yes","Markdown , URL: /wiki/Markdown
PDF , URL: /wiki/PDF
unAPI , URL: /wiki/UnAPI
"
"RefDB","Yes","?","Yes","Yes","No","DocBook , URL: /wiki/DocBook
TEI , URL: /wiki/Text_Encoding_Initiative
"
"Reference Manager","Yes","No","Yes","Yes","No","clipboard , URL: /wiki/Clipboard_(software)
"
"Referencer","?","?","?","?","?","?"
"RefME","?","?","?","?","?","?"
"RefWorks","Yes","No","Yes","Yes","No","DOC , URL: /wiki/DOC_(computing)
ODT , URL: /wiki/OpenDocument
"
"SciRef","No","No","Yes","Yes","No","Doc , URL: /wiki/DOC_(computing)
"
"Sente","Yes","No","Yes","Yes","No","clipboard , URL: /wiki/Clipboard_(software)
"
"Wikindx","Yes","No","Yes","Yes","Yes","Multiple via BibUtils plug-in"
"WizFolio","Yes","No","Yes","Yes","No","clipboard , URL: /wiki/Clipboard_(software)
DOC , URL: /wiki/DOC_(computing)
"
"Zotero","Yes","Possible via plugin[32]","Yes","Possible via plugins[33]","Yes","clipboard , URL: /wiki/Clipboard_(software)
"
