"Software","Passworded","Networking","Networking"
"Software","Passworded","User-specific permissions[53]","Simultaneous write access"
"Bebop","No","N/A","N/A"
"BibBase","N/A","N/A","N/A"
"BibDesk","Yes","No","No"
"Biblioscape","Yes","Yes","Yes"
"BibSonomy","Yes","Yes","Yes"
"Bibus","?","?","?"
"Bookends","?","?","?"
"Citavi","Yes[54]","Yes","Yes"
"CiteULike","Yes","No","Yes"
"colwiz","Yes","Yes","Yes"
"EndNote","Yes","No[55]","No[55]"
"JabRef","No","No","Partial"
"KBibTeX","No","N/A","N/A"
"Mendeley","Yes[56]","Yes","Yes"
"Paperpile","Yes[57]","Yes","Yes"
"Pybliographer","?","?","?"
"Qiqqa","Yes","Yes","Yes"
"ReadCube (now Papers)","Yes","Yes","Yes[58]"
"refbase","Yes","Yes","Yes"
"RefDB","Yes","Yes","Yes"
"Reference Manager","Yes","No","Yes"
"Referencer","?","?","?"
"RefME","?","?","?"
"RefWorks","Yes","?","Yes"
"SciRef","?","?","?"
"Sente","Yes","Yes","Yes"
"Wikindx","Yes","Yes","Yes"
"WizFolio","Yes","Yes","Yes"
"Zotero","Yes[59]","Yes","Yes"
