"","Maintainer","First public release date","Latest stable version","Latest release date","License","Public issues list"
"4D (4th Dimension) , URL: /wiki/4th_Dimension_(Software)
","4D S.A.S.","1984","v16.0","2017-01-10[1]","Proprietary , URL: /wiki/Proprietary_software
","No"
"ADABAS , URL: /wiki/ADABAS
","Software AG , URL: /wiki/Software_AG
","1970","8.1","2013-06","Proprietary , URL: /wiki/Proprietary_software
","No"
"Adaptive Server Enterprise , URL: /wiki/Adaptive_Server_Enterprise
","SAP AG , URL: /wiki/SAP_AG
","1987","16.0 SP03 PL07","2019-06-10","Proprietary , URL: /wiki/Proprietary_software
","No"
"Advantage Database Server (ADS) , URL: /wiki/Advantage_Database_Server_(ADS)
","SAP AG , URL: /wiki/SAP_AG
","1992","12.0","2015","Proprietary , URL: /wiki/Proprietary_software
","No"
"Altibase , URL: /wiki/Altibase
","Altibase Corp.","2000","7.1.0.1.2","2018-03-02","GNU-AGPLv3; GNU-LGPLv3(for client-libraries)","No"
"Apache Derby , URL: /wiki/Apache_Derby
","Apache , URL: /wiki/Apache_Software_Foundation
","2004","10.15.1.3[2]","2019-03-11","Apache License , URL: /wiki/Apache_license
","Yes[3]"
"ClustrixDB , URL: /wiki/Clustrix
","MariaDB Corporation , URL: /wiki/MariaDB
","2010","v7.0","2015-08-19","Proprietary , URL: /wiki/Proprietary_software
","No"
"CockroachDB , URL: /wiki/CockroachDB
","Cockroach Labs","2015","v20.2.8","2021-04-23","BSL,CCL,MIT,BSD","Yes[4]"
"CUBRID , URL: /wiki/CUBRID
","CUBRID","2008-11","10.2.1","2020-06-01","GPL , URL: /wiki/GNU_General_Public_License
","Yes[5]"
"Datacom , URL: /wiki/CA_Datacom
","CA, Inc. , URL: /wiki/CA,_Inc.
","Early 70s[6]","14[7]","2012[8]","Proprietary , URL: /wiki/Proprietary_software
","No"
"Db2 , URL: /wiki/IBM_Db2_Family
","IBM , URL: /wiki/IBM
","1983","
URL: https://www.wikidata.org/wiki/Q431195?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-12-08; 2 months ago","Proprietary , URL: /wiki/Proprietary_software
","No"
"Empress Embedded Database , URL: /wiki/Empress_database
","Empress Software Inc","1979","10.20","2010-03","Proprietary , URL: /wiki/Proprietary_software
","No"
"Exasol , URL: /wiki/EXASolution
","EXASOL AG , URL: /wiki/EXASOL
","2004","7.1.1","2021-09-15; 5 months ago","Proprietary , URL: /wiki/Proprietary_software
","No"
"FileMaker , URL: /wiki/FileMaker
","FileMaker, Inc., an Apple subsidiary","1985-04","19","2020-05-20","Proprietary , URL: /wiki/Proprietary_software
","No"
"Firebird , URL: /wiki/Firebird_(database_server)
","Firebird project","2000-07-25","
URL: https://www.wikidata.org/wiki/Q261744?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-06-01; 9 months ago","IPL[11] and IDPL[12]","Yes[13]"
"GPUdb , URL: /wiki/GPUdb
","GIS Federal , URL: /w/index.php?title=GIS_Federal&action=edit&redlink=1
","2014","3.2.5","2015-01-14","Proprietary , URL: /wiki/Proprietary_software
","No"
"HSQLDB , URL: /wiki/HSQLDB
","HSQL Development Group","2001","2.6.1","2021-10-21","BSD , URL: /wiki/BSD_license
","Yes[14]"
"H2 , URL: /wiki/H2_(DBMS)
","H2 Software","2005","1.4.200","2019-10-14","EPL , URL: /wiki/Eclipse_Public_License
MPL , URL: /wiki/Mozilla_Public_License
","Yes[15]"
"Informix Dynamic Server , URL: /wiki/Informix_Dynamic_Server
","IBM , URL: /wiki/IBM
","1981????1980","14.10.xC7W1","2022-01-15","Proprietary , URL: /wiki/Proprietary_software
","No"
"Ingres , URL: /wiki/Ingres_(database)
","Ingres Corp. , URL: /wiki/Ingres_(database)
","1974","11.0","2017-03-21","GPL , URL: /wiki/GNU_General_Public_License
Proprietary , URL: /wiki/Proprietary_software
","No"
"InterBase , URL: /wiki/InterBase
","Embarcadero , URL: /wiki/InterBase
","1984","XE7 v12.0.4.357","2015-08-12","Proprietary , URL: /wiki/Proprietary_software
","No"
"Linter SQL RDBMS , URL: /wiki/Linter_SQL_RDBMS
","RELEX Group","1990","6.0.17.53","2018-02-15","Proprietary , URL: /wiki/Proprietary_software
","Yes[16]"
"LucidDB , URL: /wiki/LucidDB
","The Eigenbase Project","2007-01","0.9.4","2012-01-05","GPL , URL: /wiki/GNU_General_Public_License
","No"
"MariaDB , URL: /wiki/MariaDB
","MariaDB Community , URL: /wiki/MariaDB
","2010-02-01","
URL: https://www.wikidata.org/wiki/Q787177?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-02-12; 23 days ago","GPL , URL: /wiki/GNU_General_Public_License
LGPL , URL: /wiki/GNU_Lesser_General_Public_License
","Yes[19]"
"MaxDB , URL: /wiki/MaxDB
","SAP AG , URL: /wiki/SAP_AG
","2003-05","7.9.0.8","2014","Proprietary , URL: /wiki/Proprietary_software
","Yes[20]"
"SingleStore (formerly MemSQL) , URL: /wiki/SingleStore
","SingleStore , URL: /wiki/SingleStore
","2012-06","7.1.11","2020-10-12","Proprietary , URL: /wiki/Proprietary_software
","No"
"Microsoft Access , URL: /wiki/Microsoft_Access
","Microsoft , URL: /wiki/Microsoft
","1992","16 (2016)","2015-09-22","Proprietary , URL: /wiki/Proprietary_software
","No"
"Microsoft Visual Foxpro , URL: /wiki/Microsoft_Visual_Foxpro
","Microsoft , URL: /wiki/Microsoft
","1984","9 (2005)","2007-10-11","Proprietary , URL: /wiki/Proprietary_software
","No"
"Microsoft SQL Server , URL: /wiki/Microsoft_SQL_Server
","Microsoft , URL: /wiki/Microsoft
","1989","
URL: https://www.wikidata.org/wiki/Q215819?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2019-11-04; 2 years ago","Proprietary , URL: /wiki/Proprietary_software
","No"
"Microsoft SQL Server Compact (Embedded Database) , URL: /wiki/SQL_Server_Compact
","Microsoft , URL: /wiki/Microsoft
","2000","2011 (v4.0)","","Proprietary , URL: /wiki/Proprietary_software
","No"
"Mimer SQL , URL: /wiki/Mimer_SQL
","Mimer Information Technology","1978","11.0.5A","2021-03-01","Proprietary , URL: /wiki/Proprietary_software
","No"
"MonetDB , URL: /wiki/MonetDB
","MonetDB , URL: /wiki/MonetDB
CWI , URL: /wiki/Centrum_Wiskunde_%26_Informatica
","2004","Jan2022","2022-01-24","Mozilla Public License, version 2.0[22]","Yes[23]"
"mSQL , URL: /wiki/MSQL
","Hughes Technologies","1994","4.1[24]","2017-06-30","Proprietary , URL: /wiki/Proprietary_software
","No"
