"","Max DB size","Max table size","Max row size","Max columns per row","Max Blob/Clob size","Max CHAR size","Max NUMBER size","Min DATE value","Max DATE value","Max column name size"
"4th Dimension , URL: /wiki/4th_Dimension_(Software)
","Limited","?","?","65,135","GiB , URL: /wiki/Gibibyte
Unicode , URL: /wiki/Unicode
","GiB , URL: /wiki/Gibibyte
Unicode , URL: /wiki/Unicode
","64 bits","?","?","?"
"Advantage Database Server , URL: /wiki/Advantage_Database_Server
","Unlimited","EiB , URL: /wiki/Exbibyte
","65,530 B","65,135 / (10+ AvgFieldNameLength)","GiB , URL: /wiki/Gibibyte
","?","64 bits","?","?","128"
"Apache Derby , URL: /wiki/Apache_Derby
","Unlimited","Unlimited","Unlimited","1,012 (5,000 in views)","2,147,483,647 chars","254 (VARCHAR: 32,672)","64 bits","0001-01-01","9999-12-31","128"
"ClustrixDB , URL: /wiki/Clustrix
","Unlimited","Unlimited","64 MB on Appliance, 4 MB on AWS","?","64 MB","64 MB","64 MB","0001-01-01","9999-12-31","254"
"CUBRID , URL: /wiki/CUBRID
","2 EB","2 EB","Unlimited","Unlimited","Unlimited","1 GB","64 bits","0001-01-01","9999-12-31","254"
"DB2 , URL: /wiki/IBM_DB2
","Unlimited","ZB , URL: /wiki/Zettabyte
","1,048,319 B","1,012","2 GB","KiB , URL: /wiki/Kibibyte
","64 bits","0001-01-01","9999-12-31","128"
"Empress Embedded Database , URL: /wiki/Empress_database
","Unlimited","263-1 bytes","2 GB","32,767","2 GB","2 GB","64 bits","0000-01-01","9999-12-31","32"
"EXASolution , URL: /wiki/EXASOL
","Unlimited","Unlimited","Unlimited","10,000","N/A","2 MB","128 bits","0001-01-01","9999-12-31","256"
"FileMaker , URL: /wiki/FileMaker
","8 TB","8 TB","8 TB","256,000,000","4 GB","10,000,000","1 billion characters, 10^-400 to 10^400, +-","0001-01-01","4000-12-31","100"
"Firebird , URL: /wiki/Firebird_(database_server)
","Unlimited1","~32 TB","65,536 B","Depends on data types used","32 GB","32,767 B","64 bits","100","32768","31"
