"","R- , URL: /wiki/R-tree
R+ tree , URL: /wiki/R%2B_tree
","Hash , URL: /wiki/Hash_function
","Expression , URL: /wiki/Expression_index
","Partial , URL: /wiki/Partial_index
","Reverse , URL: /wiki/Reverse_index
","Bitmap , URL: /wiki/Bitmap_index
","GiST , URL: /wiki/GiST
","GIN , URL: /wiki/Inverted_index
","Full-text , URL: /wiki/Full_text_search
","Spatial , URL: /wiki/Spatial_index
","FOT , URL: /w/index.php?title=Forest_of_Trees&action=edit&redlink=1
","Duplicate index prevention"
"4th Dimension , URL: /wiki/4th_Dimension_(Software)
","?","Cluster","?","?","?","?","?","?","Yes","?","?","No"
"ADABAS , URL: /wiki/ADABAS
","?","?","?","?","?","?","?","?","?","?","?","No"
"Adaptive Server Enterprise , URL: /wiki/Adaptive_Server_Enterprise
","No","No","Yes","No","Yes","No","No","No","Yes","?","?","No"
"Advantage Database Server , URL: /wiki/Advantage_Database_Server
","No","No","Yes","No","Yes","Yes","No","No","Yes","?","?","No"
"Apache Derby , URL: /wiki/Apache_Derby
","No","No","No","No","No","No","No","No","No[82]","?","?","No"
"ClustrixDB , URL: /wiki/Clustrix
","No","Yes","No","No","No","No","No","No","No","No","?","No"
"CUBRID , URL: /wiki/CUBRID
","No","No","Yes[83]","Yes[83]","Yes","No","No","No","No","No","No","No"
"DB2 , URL: /wiki/IBM_DB2
","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes[84]","?","?","No"
"Empress Embedded Database , URL: /wiki/Empress_database
","Yes","No","No","Yes","No","Yes","No","No","No","?","?","No"
"EXASolution , URL: /wiki/EXASOL
","No","Yes","No","No","No","No","No","No","No","?","?","No"
"Firebird , URL: /wiki/Firebird_(database_server)
","No","No","Yes","No","Yes","No","No","No","No[85]","?","?","No"
"HSQLDB , URL: /wiki/HSQLDB
","No","No","No","No","No","No","No","No","No","?","?","No"
"H2 , URL: /wiki/H2_(DBMS)
","No","Yes","No","No","No","No","No","No","Yes[86]","Yes[87]","?","No"
"Informix Dynamic Server , URL: /wiki/Informix_Dynamic_Server
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes[88]","Yes"
"Ingres , URL: /wiki/Ingres_(database)
","Yes","Yes","Ingres v10","No","No","Ingres v10","No","No","No","?","?","No"
"InterBase , URL: /wiki/InterBase
","No","No","No","No","No","No","No","No","No","?","?","No"
"Linter SQL RDBMS , URL: /wiki/Linter_SQL_RDBMS
","No","Yes temporary indexes for equality joins","Yes for some scalar functions like LOWER and UPPER","No","No","No","No","No","Yes[89]","No","No","Yes"
"LucidDB , URL: /wiki/LucidDB
","No","No","No","No","No","Yes","No","No","No","?","?","No"
