"Research Networking Tool","h-index , URL: /wiki/H-index
","Citation count , URL: /w/index.php?title=Citation_count&action=edit&redlink=1
","Altmetrics , URL: /wiki/Altmetrics
","SNIP and SJR , URL: /w/index.php?title=SNIP_and_SJR&action=edit&redlink=1
","Journal Impact Factor*","Other","Comment",""
"Academic Room","","","","","","","",""
"AcademicLabs","Soon","Yes","","Yes","","","",""
"Activity Insight","Yes","Yes","Yes","Yes","Yes","","",""
"C-IKNOW","","","","","","","",""
"PROFILES by Mentis (formerly Collaborative Partnership / Profile System)","Yes","Yes","Yes","Yes","Yes","","",""
"Community Academic Profiles - CAP","","","","","","","",""
"Converis","Yes","Yes","Yes Can integrate with altmetric data feed","No","Yes","Category Normalized Citation Impact, Journal Normalized Citation Impact, Percentile in Category, Highly Cited Paper, Hot Paper, International Collaboration, Institutional Collaboration, Industry Collaboration and Open Access","",""
"Curvita Profile Manager","","","","","","","",""
"CUSP - Columbia University Scientific Profiles","","","","","","","",""
"Digital Vita","","","","","","","",""
"Elsevier's Pure (integrated with SciVal)","Yes","Yes","PlumX , URL: /wiki/Plum_Analytics#PlumX
","Yes","No","Field-weighted Citation Impact, Number of Authors, CiteScore","",""
"Elsevier's SciVal","Yes","Yes","Yes Views data from ScienceDirect and Scopus","Yes","No","20+ indicators ranging from h, g & m indices, to Publications in Top Journal Percentiles, Field-Weighted Citation Impact, Academic-Corporate Collaboration Impact & Views per Publication","",""
"Epernicus Solutions & Epernicus Network","","","","","","","",""
"ERIM Member Profile System (ERIM MIS)","","","","","","","",""
"Esploro","YesPlanned","Yes integrated with external tools","Yes","Yes planned","Yes planned","Multiple research-related indicators to measure research outputs usage and impact","",""
"EUREKA! Enhancing Student Research","","","","","","","",""
"Expertise @ Maryland","","","","","","","",""
"Faculty Profile System","","","","","","","",""
"Faculty Research Information Profile (FRIP)","","","","","","","",""
"Faculty Scholarly Productivity Index","","","","","","","",""
"GENIUS","","","","","","","",""
"Google Scholar , URL: /wiki/Google_Scholar
","Yes","","","","","","",""
"HUBzero","","","","","","","",""
"iamResearcher","","","","","","","",""
"iAMscientist","","","","","","","",""
"i2iConnect","","","","","","","",""
"InCites","Yes","Yes","Yes Recorded Future partnership provides customized newsfeed and instition activity from web content","No","Yes","","",""
"INDURE","","","","","","","",""
"LatticeGrid","","","","","","","",""
"Lattes Database","","","","","","","",""
"LinkedIn","No","No","None","","","","",""
"Life Science Network","No","No","Yes (views counts, recommendations, rating scores calculated from anonymous and non-anonymous contributions)","No","No (but journals can be entered into the database and their IF indicated)","","",""
"Loki","","","","","","","",""
"Lyterati","","","","","","","",""
"McCormick Collaboration Visualization Tool","","","","","","","",""
"MizzouLinks","","","","","","","",""
"MyScienceWork","","","","","","","",""
"OSU:pro","","","","","","","",""
"Pivot","","","","","","","",""
"Portfolio & Showroom","No","No","No","No","No","","DORA initiative , URL: /wiki/San_Francisco_Declaration_on_Research_Assessment
",""
"Profiles","","","","","","","",""
"ReachNC","Yes","","","","","","",""
"Research Accelerator","","","","","","","",""
"ResearcherID","Yes","Yes","","","","","",""
"SciENcv","","","","","","","",""
"Symplectic Elements","Yes","Yes","Yes","Yes","Yes","","",""
"VIVO","","","Yes","","","","",""
"Yaffle","","","","","","","",""
