"GPU , URL: /wiki/Graphics_processing_unit
","Wonder , URL: /wiki/List_of_AMD_graphics_processing_units#Wonder_series
","Mach , URL: /wiki/List_of_AMD_graphics_processing_units#Mach_series
","3D Rage , URL: /wiki/List_of_AMD_graphics_processing_units#Rage_series
","Rage Pro , URL: /wiki/List_of_AMD_graphics_processing_units#Rage_series
","Rage 128 , URL: /wiki/List_of_AMD_graphics_processing_units#Rage_series
","R100 , URL: /wiki/ATi_Radeon_R100_Series
","R200 , URL: /wiki/ATI_Radeon_R200_series
","R300 , URL: /wiki/ATi_Radeon_R300_Series
","R400 , URL: /wiki/ATi_Radeon_R400_Series
","R500 , URL: /wiki/Radeon_X1000_series
","R600 , URL: /wiki/Radeon_HD_2000_series
","RV670 , URL: /wiki/Radeon_HD_3000_Series
","R700 , URL: /wiki/Radeon_HD_4000_series
","Evergreen , URL: /wiki/Radeon_HD_5000_Series
","Northern Islands , URL: /wiki/Radeon_HD_6000_Series
","Southern Islands , URL: /wiki/Radeon_HD_7000_Series
","Sea Islands , URL: /wiki/AMD_Radeon_Rx_200_series
","Volcanic Islands , URL: /wiki/AMD_Radeon_Rx_300_series
","Arctic Islands/Polaris , URL: /wiki/AMD_Radeon_400_series
","Vega , URL: /wiki/AMD_RX_Vega_series
","Navi 1X , URL: /wiki/AMD_Radeon_RX_5000_series
","Navi 2X , URL: /wiki/AMD_Radeon_RX_6000_series
","","",""
"Released","1986","1991","1996","1997","1998","Apr 2000","Aug 2001","Sep 2002","May 2004","Oct 2005","May 2007","Nov 2007","Jun 2008","Sep 2009","Oct 2010","Jan 2012","Sep 2013","Jun 2015","Jun 2016","Jun 2017","Jul 2019","Nov 2020","","",""
"Marketing Name , URL: 
","Wonder","Mach","3D Rage","Rage Pro","Rage 128","Radeon 7000","Radeon 8000","Radeon 9000","Radeon X700/X800","Radeon X1000","Radeon HD 2000","Radeon HD 3000","Radeon HD 4000","Radeon HD 5000","Radeon HD 6000","Radeon HD 7000","Radeon Rx 200","Radeon Rx 300","Radeon RX 400/500","Radeon RX Vega/Radeon VII(7nm)","Radeon RX 5000","Radeon RX 6000","","",""
"AMD support","//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Dark_Red_x.svg/13px-Dark_Red_x.svg.png
","//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Dark_Red_x.svg/13px-Dark_Red_x.svg.png
","//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Dark_Red_x.svg/13px-Dark_Red_x.svg.png
","//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Dark_Red_x.svg/13px-Dark_Red_x.svg.png
","//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Dark_Red_x.svg/13px-Dark_Red_x.svg.png
","//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Dark_Red_x.svg/13px-Dark_Red_x.svg.png
","//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Dark_Red_x.svg/13px-Dark_Red_x.svg.png
","//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Dark_Red_x.svg/13px-Dark_Red_x.svg.png
","//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Dark_Red_x.svg/13px-Dark_Red_x.svg.png
","//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Dark_Red_x.svg/13px-Dark_Red_x.svg.png
","//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Dark_Red_x.svg/13px-Dark_Red_x.svg.png
","//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Dark_Red_x.svg/13px-Dark_Red_x.svg.png
","//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Dark_Red_x.svg/13px-Dark_Red_x.svg.png
","//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Dark_Red_x.svg/13px-Dark_Red_x.svg.png
","//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Dark_Red_x.svg/13px-Dark_Red_x.svg.png
","//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Dark_Red_x.svg/13px-Dark_Red_x.svg.png
","//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Dark_Red_x.svg/13px-Dark_Red_x.svg.png
","//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Dark_Red_x.svg/13px-Dark_Red_x.svg.png
","//upload.wikimedia.org/wikipedia/en/thumb/f/fb/Yes_check.svg/13px-Yes_check.svg.png
","//upload.wikimedia.org/wikipedia/en/thumb/f/fb/Yes_check.svg/13px-Yes_check.svg.png
","//upload.wikimedia.org/wikipedia/en/thumb/f/fb/Yes_check.svg/13px-Yes_check.svg.png
","//upload.wikimedia.org/wikipedia/en/thumb/f/fb/Yes_check.svg/13px-Yes_check.svg.png
","//upload.wikimedia.org/wikipedia/en/thumb/f/fb/Yes_check.svg/13px-Yes_check.svg.png
","//upload.wikimedia.org/wikipedia/en/thumb/f/fb/Yes_check.svg/13px-Yes_check.svg.png
","//upload.wikimedia.org/wikipedia/en/thumb/f/fb/Yes_check.svg/13px-Yes_check.svg.png
"
"Kind","2D","2D","3D","3D","3D","3D","3D","3D","3D","3D","3D","3D","3D","3D","3D","3D","3D","3D","3D","3D","3D","3D","","",""
"Instruction set , URL: /wiki/Instruction_set
","Not publicly known","Not publicly known","Not publicly known","Not publicly known","Not publicly known","Not publicly known","Not publicly known","Not publicly known","Not publicly known","Not publicly known","TeraScale , URL: /wiki/TeraScale_(microarchitecture)
","TeraScale , URL: /wiki/TeraScale_(microarchitecture)
","TeraScale , URL: /wiki/TeraScale_(microarchitecture)
","TeraScale , URL: /wiki/TeraScale_(microarchitecture)
","TeraScale , URL: /wiki/TeraScale_(microarchitecture)
","GCN instruction set , URL: /wiki/Graphics_Core_Next#Instruction_set
","GCN instruction set , URL: /wiki/Graphics_Core_Next#Instruction_set
","GCN instruction set , URL: /wiki/Graphics_Core_Next#Instruction_set
","GCN instruction set , URL: /wiki/Graphics_Core_Next#Instruction_set
","GCN instruction set , URL: /wiki/Graphics_Core_Next#Instruction_set
","RDNA instruction set , URL: /wiki/RDNA_(microarchitecture)#Instruction_set
","RDNA instruction set , URL: /wiki/RDNA_(microarchitecture)#Instruction_set
","","",""
"Microarchitecture , URL: /wiki/Microarchitecture
","Not publicly known","Not publicly known","Not publicly known","Not publicly known","Not publicly known","Not publicly known","Not publicly known","Not publicly known","Not publicly known","Not publicly known","TeraScale 1 , URL: /wiki/TeraScale_(microarchitecture)#first
","TeraScale 1 , URL: /wiki/TeraScale_(microarchitecture)#first
","TeraScale 1 , URL: /wiki/TeraScale_(microarchitecture)#first
","TeraScale 2 (VLIW5) , URL: /wiki/TeraScale_(microarchitecture)#second
","TeraScale 3 (VLIW4) , URL: /wiki/TeraScale_(microarchitecture)#third
","GCN 1st gen , URL: /wiki/Graphics_Core_Next#first
","GCN 2nd gen , URL: /wiki/Graphics_Core_Next#second
","GCN 3rd gen , URL: /wiki/Graphics_Core_Next#third
","GCN 4th gen , URL: /wiki/Graphics_Core_Next#fourth
","GCN 5th gen , URL: /wiki/Graphics_Core_Next#fifth
","RDNA , URL: /wiki/RDNA_(microarchitecture)#Architecture
","RDNA 2 , URL: /wiki/RDNA_(microarchitecture)#RDNA_2
","","",""
"Type","Fixed pipeline[a]","Fixed pipeline[a]","Fixed pipeline[a]","Fixed pipeline[a]","Fixed pipeline[a]","Fixed pipeline[a]","Programmable pixel & vertex pipelines","Programmable pixel & vertex pipelines","Programmable pixel & vertex pipelines","Programmable pixel & vertex pipelines","Unified shader model , URL: /wiki/Unified_shader_model
","Unified shader model , URL: /wiki/Unified_shader_model
","Unified shader model , URL: /wiki/Unified_shader_model
","Unified shader model , URL: /wiki/Unified_shader_model
","Unified shader model , URL: /wiki/Unified_shader_model
","Unified shader model , URL: /wiki/Unified_shader_model
","Unified shader model , URL: /wiki/Unified_shader_model
","Unified shader model , URL: /wiki/Unified_shader_model
","Unified shader model , URL: /wiki/Unified_shader_model
","Unified shader model , URL: /wiki/Unified_shader_model
","Unified shader model , URL: /wiki/Unified_shader_model
","Unified shader model , URL: /wiki/Unified_shader_model
","","",""
"Direct3D , URL: /wiki/Direct3D
","N/A","N/A","5.0","6.0","6.0","7.0","8.1","9_2 , URL: /wiki/Feature_levels_in_Direct3D#Direct3D_11
","9_2 , URL: /wiki/Feature_levels_in_Direct3D#Direct3D_11
","9_3 , URL: /wiki/Feature_levels_in_Direct3D#Direct3D_11
","10_0 , URL: /wiki/Feature_levels_in_Direct3D#Direct3D_11
","10_1 , URL: /wiki/Feature_levels_in_Direct3D#Direct3D_11
","10_1 , URL: /wiki/Feature_levels_in_Direct3D#Direct3D_11
","11_0 , URL: /wiki/Feature_levels_in_Direct3D#Direct3D_11
","11_0 , URL: /wiki/Feature_levels_in_Direct3D#Direct3D_11
","11_1 , URL: /wiki/Feature_levels_in_Direct3D#Direct3D_11
11_1 , URL: /wiki/Feature_levels_in_Direct3D#Direct3D_12
","12_0 , URL: /wiki/Feature_levels_in_Direct3D#Direct3D_11
12_0 , URL: /wiki/Feature_levels_in_Direct3D#Direct3D_12
","12_0 , URL: /wiki/Feature_levels_in_Direct3D#Direct3D_11
12_0 , URL: /wiki/Feature_levels_in_Direct3D#Direct3D_12
","12_0 , URL: /wiki/Feature_levels_in_Direct3D#Direct3D_11
12_0 , URL: /wiki/Feature_levels_in_Direct3D#Direct3D_12
","12_1 , URL: /wiki/Feature_levels_in_Direct3D#Direct3D_11
12_1 , URL: /wiki/Feature_levels_in_Direct3D#Direct3D_12
","12_1 , URL: /wiki/Feature_levels_in_Direct3D#Direct3D_11
12_1 , URL: /wiki/Feature_levels_in_Direct3D#Direct3D_12
","12_1 , URL: /wiki/Feature_levels_in_Direct3D#Direct3D_11
12_2 , URL: /wiki/Feature_levels_in_Direct3D#Direct3D_12
","","",""
"Shader model , URL: /wiki/High-Level_Shading_Language#Shader_model_comparison
","N/A","N/A","N/A","N/A","N/A","N/A","1.4","2.0+","2.0b","3.0","4.0","4.1","4.1","5.0","5.0","5.1","5.1 6.3","5.1 6.3","5.1 6.3","6.4","6.4","6.5","","",""
