"Model[166]","Launch","Architecture , URL: /wiki/Microarchitecture
Fab , URL: /wiki/Semiconductor_device_fabrication
","Core","Core","Fillrate , URL: /wiki/Fillrate
","Fillrate , URL: /wiki/Fillrate
","GFLOPS , URL: /wiki/GFLOPS
","Memory","Memory","Memory","Memory","TDP (Watts)","Bus interface , URL: /wiki/Computer_bus
"
"Model[166]","Launch","Architecture , URL: /wiki/Microarchitecture
Fab , URL: /wiki/Semiconductor_device_fabrication
","Config[d]","MHz , URL: /wiki/Hertz
","GP , URL: /wiki/Pixel
","GT , URL: /wiki/Texel_(graphics)
","GFLOPS , URL: /wiki/GFLOPS
","MiB , URL: /wiki/Mebibyte
","bit , URL: /wiki/Bit
","MHz , URL: /wiki/Hertz
","GB , URL: /wiki/Gigabyte
","TDP (Watts)","Bus interface , URL: /wiki/Computer_bus
"
"Radeon HD 6330M (Robson LP)[167]","November 2010","TeraScale 2 , URL: /wiki/TeraScale_(microarchitecture)#TeraScale_2
","80:8:4","500","2.0","4.0","80","1024","DDR3 64-bit","800","12.8","7","PCIe 2.1 x16"
"Radeon HD 6350M (Robson Pro)[167]","November 2010","TeraScale 2 , URL: /wiki/TeraScale_(microarchitecture)#TeraScale_2
","80:8:4","500","2.0","4.0","80","1024","DDR3 64-bit","800 900","12.8 14.4","7","PCIe 2.1 x16"
"Radeon HD 6370M (Robson XT)[167]","November 2010","TeraScale 2 , URL: /wiki/TeraScale_(microarchitecture)#TeraScale_2
","80:8:4","750","3.0","6.0","120","1024","DDR3 64-bit","900","14.4","11","PCIe 2.1 x16"
"Radeon HD 6430M (Seymour LP)[168]","January 2011","TeraScale 2 , URL: /wiki/TeraScale_(microarchitecture)#TeraScale_2
","160:8:4","480","1.92","3.84","153.6","1024","DDR3 64-bit","800","12.8","Unknown","PCIe 2.1 x16"
"Radeon HD 6450M (Seymour Pro)[168]","January 2011","TeraScale 2 , URL: /wiki/TeraScale_(microarchitecture)#TeraScale_2
","160:8:4","600","2.4","4.8","192","1024","DDR3 64-bit","800","12.8","Unknown","PCIe 2.1 x16"
"Radeon HD 6470M (Seymour XT)[168]","January 2011","TeraScale 2 , URL: /wiki/TeraScale_(microarchitecture)#TeraScale_2
","160:8:4","700 750","2.8 3.0","5.6 6.0","224 240","1024","DDR3 64-bit","800 800","12.8","Unknown","PCIe 2.1 x16"
"Radeon HD 6490M (Seymour XT)[168]","January 2011","TeraScale 2 , URL: /wiki/TeraScale_(microarchitecture)#TeraScale_2
","160:8:4","800","3.2","6.4","256","512","GDDR5 64-bit","800","25.6","Unknown","PCIe 2.1 x16"
"Radeon HD 6530M (Capilano Pro)[169]","November 2010","TeraScale 2 , URL: /wiki/TeraScale_(microarchitecture)#TeraScale_2
","400:20:8","500","4.0","10.0","400","1024","DDR3 128-bit","900","28.8","26","PCIe 2.1 x16"
"Radeon HD 6550M (Capilano Pro)[169]","November 2010","TeraScale 2 , URL: /wiki/TeraScale_(microarchitecture)#TeraScale_2
","400:20:8","600","4.8","12.0","480","1024","DDR3 128-bit","900","28.8","26","PCIe 2.1 x16"
"Radeon HD 6570M (Capilano XT)[169]","November 2010","TeraScale 2 , URL: /wiki/TeraScale_(microarchitecture)#TeraScale_2
","400:20:8","650","5.2","13.0","520","1024","DDR3 64-bit GDDR5 128-bit","900","28.8 57.6","30","PCIe 2.1 x16"
"Radeon HD 6630M (Whistler LP)[170]","January 2011","TeraScale 2 , URL: /wiki/TeraScale_(microarchitecture)#TeraScale_2
","480:24:8","485","3.88","11.64","465.6","256(mac) 1024","GDDR5 128-bit(mac) DDR3","800","51.2 (mac) 25.6","Unknown","PCIe 2.1 x16"
"Radeon HD 6650M (Whistler Pro)[170]","January 2011","TeraScale 2 , URL: /wiki/TeraScale_(microarchitecture)#TeraScale_2
","480:24:8","600","4.8","14.4","576","1024","DDR3 128-bit","900","28.8","Unknown","PCIe 2.1 x16"
"Radeon HD 6730M (Whistler XT)[170]","January 2011","TeraScale 2 , URL: /wiki/TeraScale_(microarchitecture)#TeraScale_2
","480:24:8","725","5.8","17.4","696","1024","DDR3 128-bit","800","25.6","Unknown","PCIe 2.1 x16"
"Radeon HD 6750M (Whistler Pro)[170]","January 2011","TeraScale 2 , URL: /wiki/TeraScale_(microarchitecture)#TeraScale_2
","480:24:8","600","4.8","14.4","576","256 512 1024","GDDR5 128-bit","800 900","51.2 57.6","Unknown","PCIe 2.1 x16"
"Radeon HD 6770M (Whistler XT)[170]","January 2011","TeraScale 2 , URL: /wiki/TeraScale_(microarchitecture)#TeraScale_2
","480:24:8","725","5.8","17.4","696","1024","GDDR5 128-bit","900","57.6","Unknown","PCIe 2.1 x16"
"Radeon HD 6830M (Granville Pro)[171]","January 2011","TeraScale 2 , URL: /wiki/TeraScale_(microarchitecture)#TeraScale_2
","800:40:16","575","9.2","23.0","920","2048","DDR3 128-bit","800","25.6","39","PCIe 2.1 x16"
"Radeon HD 6850M (Granville XT)[171]","January 2011","TeraScale 2 , URL: /wiki/TeraScale_(microarchitecture)#TeraScale_2
","800:40:16","675","10.8","27.0","1080","2048","DDR3 128-bit","800","25.6","50","PCIe 2.1 x16"
"Radeon HD 6850M (Granville Pro)[171]","January 2011","TeraScale 2 , URL: /wiki/TeraScale_(microarchitecture)#TeraScale_2
","800:40:16","575","9.2","23.0","920","1024","GDDR5 128-bit","800","57.6","39","PCIe 2.1 x16"
"Radeon HD 6870M (Granville XT)[171]","January 2011","TeraScale 2 , URL: /wiki/TeraScale_(microarchitecture)#TeraScale_2
","800:40:16","675","10.8","27","1080","1024","GDDR5 128-bit","1000","64","50","PCIe 2.1 x16"
"Radeon HD 6950M (Blackcomb Pro)[172]","January 2011","TeraScale 2 , URL: /wiki/TeraScale_(microarchitecture)#TeraScale_2
","960:48:32","580","18.56","27.84","1113.6","2048","GDDR5 256-bit","900","115.2","50","PCIe 2.1 x16"
"Radeon HD 6970M (Blackcomb XT)[172]","January 2011","TeraScale 2 , URL: /wiki/TeraScale_(microarchitecture)#TeraScale_2
","960:48:32","680","21.76","32.64","1305.6","2048","GDDR5 256-bit","900","115.2","75","PCIe 2.1 x16"
"Radeon HD 6990M (Blackcomb XTX)[173]","July 2011","TeraScale 2 , URL: /wiki/TeraScale_(microarchitecture)#TeraScale_2
","1120:56:32","715","22.88","40.04","1601.6","2048","GDDR5 256-bit","900","115.2","75","PCIe 2.1 x16"
