"Graphics","Launch","Market","Processor , URL: /wiki/List_of_Intel_microprocessors
","Code name","Device ID , URL: /wiki/Device_driver#Identifiers
","Clock rate , URL: /wiki/Clock_rate
MHz , URL: /wiki/Hertz
","Core config1","API , URL: /wiki/Application_programming_interface
","API , URL: /wiki/Application_programming_interface
","API , URL: /wiki/Application_programming_interface
","API , URL: /wiki/Application_programming_interface
","MB , URL: /wiki/Megabyte
","Memory bandwidth , URL: /wiki/Memory_bandwidth
GB/s , URL: /wiki/Gigabyte_per_second
"
"Graphics","Launch","Market","Processor , URL: /wiki/List_of_Intel_microprocessors
","Code name","Device ID , URL: /wiki/Device_driver#Identifiers
","Clock rate , URL: /wiki/Clock_rate
MHz , URL: /wiki/Hertz
","Core config1","Direct3D , URL: /wiki/Direct3D
","OpenGL , URL: /wiki/OpenGL
","OpenCL , URL: /wiki/OpenCL
","Vulkan , URL: /wiki/Vulkan_(API)
","MB , URL: /wiki/Megabyte
","Memory bandwidth , URL: /wiki/Memory_bandwidth
GB/s , URL: /wiki/Gigabyte_per_second
"
"HD Graphics","2015","Ultramobile","Atom x5-Z8300","Cherryview Braswell , URL: /wiki/Airmont_microarchitecture
","22B0 22B1 22B2 22B3","200-500","96:12:2","11.2","4.3Windows 4.6Linux ES 3.2Linux","2.0Windows 1.2Linux","1.1Linux","-","12.8"
"HD Graphics","2015","Ultramobile","Atom x5-Z8500","Cherryview Braswell , URL: /wiki/Airmont_microarchitecture
","22B0 22B1 22B2 22B3","200-600","96:12:2","11.2","4.3Windows 4.6Linux ES 3.2Linux","2.0Windows 1.2Linux","1.1Linux","-",""
"HD Graphics","2015","Ultramobile","Atom x5-E8000 Celeron N3000 Celeron N3050","Cherryview Braswell , URL: /wiki/Airmont_microarchitecture
","22B0 22B1 22B2 22B3","","96:12:2","11.2","4.3Windows 4.6Linux ES 3.2Linux","2.0Windows 1.2Linux","1.1Linux","-",""
"HD Graphics","2015","Ultramobile","Celeron N3150","Cherryview Braswell , URL: /wiki/Airmont_microarchitecture
","22B0 22B1 22B2 22B3","","96:12:2","11.2","4.3Windows 4.6Linux ES 3.2Linux","2.0Windows 1.2Linux","1.1Linux","-",""
"HD Graphics","2015","Ultramobile","Atom x7-Z8700","Cherryview Braswell , URL: /wiki/Airmont_microarchitecture
","22B0 22B1 22B2 22B3","200-600","128:16:2","11.2","4.3Windows 4.6Linux ES 3.2Linux","2.0Windows 1.2Linux","1.1Linux","-",""
"HD Graphics","2015","Ultramobile","Pentium N3700","Cherryview Braswell , URL: /wiki/Airmont_microarchitecture
","22B0 22B1 22B2 22B3","","128:16:2","11.2","4.3Windows 4.6Linux ES 3.2Linux","2.0Windows 1.2Linux","1.1Linux","-",""
"HD Graphics 400","2016","Ultramobile","Atom x5-Z8350[52]","Cherryview Braswell , URL: /wiki/Airmont_microarchitecture
","22B0 22B1 22B2 22B3","200-500","96:12:2","11.2","4.3Windows 4.6Linux ES 3.2Linux","2.0Windows 1.2Linux","1.1Linux","-",""
"HD Graphics 400","2016","Ultramobile","Celeron N3010 Celeron N3060","Cherryview Braswell , URL: /wiki/Airmont_microarchitecture
","22B0 22B1 22B2 22B3","","96:12:2","11.2","4.3Windows 4.6Linux ES 3.2Linux","2.0Windows 1.2Linux","1.1Linux","-",""
"HD Graphics 400","2016","Ultramobile","Celeron N3160","Cherryview Braswell , URL: /wiki/Airmont_microarchitecture
","22B0 22B1 22B2 22B3","","96:12:2","11.2","4.3Windows 4.6Linux ES 3.2Linux","2.0Windows 1.2Linux","1.1Linux","-",""
