"Model","Launch","Code name , URL: /wiki/Code_name
","Fab , URL: /wiki/Semiconductor_device_fabrication
nm , URL: /wiki/Nanometer
","Transistors (million)","Die size (mm2)","Bus , URL: /wiki/Computer_bus
interface , URL: /wiki/I/O_interface
","Core config1","Clock rate","Clock rate","Clock rate","Fillrate , URL: /wiki/Fillrate
","Fillrate , URL: /wiki/Fillrate
","Memory","Memory","Memory","Memory","API , URL: /wiki/Application_programming_interface
","API , URL: /wiki/Application_programming_interface
","GFLOPS , URL: /wiki/GFLOPS
","TDP , URL: /wiki/Thermal_design_power
","Comments"
"Model","Launch","Code name , URL: /wiki/Code_name
","Fab , URL: /wiki/Semiconductor_device_fabrication
nm , URL: /wiki/Nanometer
","Transistors (million)","Die size (mm2)","Bus , URL: /wiki/Computer_bus
interface , URL: /wiki/I/O_interface
","Core config1","MHz , URL: /wiki/Hertz
","MHz , URL: /wiki/Hertz
","MHz , URL: /wiki/Hertz
","GP , URL: /wiki/Pixel
","GT , URL: /wiki/Texel_(graphics)
","MB , URL: /wiki/Megabyte
","GB , URL: /wiki/Gigabyte
","Bus type","bit , URL: /wiki/Bit
","Direct3D , URL: /wiki/Direct3D
","OpenGL , URL: /wiki/OpenGL
","Single precision , URL: /wiki/Single_precision_floating-point_format
","TDP , URL: /wiki/Thermal_design_power
","Comments"
"GeForce 8100 mGPU[44]","2008","MCP78","TSMC , URL: /wiki/TSMC
","Unknown","Unknown","PCIe 2.0 x16","8:8:4","500","1200","400 (system memory)","2","4","Up to 512 from system memory","6.4 12.8","DDR2","64 128","10.0","3.3","28.8","Unknown","The block of decoding of HD-video PureVideo HD is disconnected"
"GeForce 8200 mGPU[44]","2008","MCP78","TSMC , URL: /wiki/TSMC
","Unknown","Unknown","PCIe 2.0 x16","8:8:4","500","1200","400 (system memory)","2","4","","6.4 12.8","DDR2","64 128","10.0","3.3","28.8","",""
"GeForce 8300 mGPU[44]","2008","MCP78","TSMC , URL: /wiki/TSMC
","Unknown","Unknown","PCIe 2.0 x16","8:8:4","500","1500","400 (system memory)","2","4","Up to 512 from system memory","6.4 12.8","DDR2","64 128","10.0","3.3","36","Unknown",""
"GeForce 8300 GS[45]","July 2007","G86","TSMC , URL: /wiki/TSMC
","210","127","PCIe 1.0 x16","8:8:4","450","900","400","1.8","3.6","128 512","6.4","DDR2","64","10.0","3.3","14.4","40","OEM only"
"GeForce 8400 GS","June 15, 2007","G86","TSMC , URL: /wiki/TSMC
","210","127","PCIe 1.0 x16 PCI","16:8:4","450","900","400","1.8","3.6","128 256 512","6.4","DDR2","64","10.0","3.3","28.8","40",""
"GeForce 8400 GS rev.2","December 10, 2007","G98","TSMC 65 nm","210","86","PCIe 2.0 x16 PCIe x1 PCI","8:8:4","567","1400","400","2.268","4.536","128 256 512","6.4","DDR2","64","10.0","3.3","22.4","25",""
"GeForce 8400 GS rev.3","July 12, 2010","GT218","TSMC 40 nm","260","57","PCIe 2.0 x16","8:4:4","520 589","1230","400 (DDR2) 600 (DDR3)","2.08 2.356","2.08 2.356","512 1024","4.8 6.4 9.6","DDR2 DDR3","32 64","10.1","3.3","19.7","25",""
"GeForce 8500 GT","April 17, 2007","G86","TSMC 80 nm","210","127","PCIe 1.0 x16 PCI","16:8:4","450","900","400","1.8","3.6","256 512 1024","12.8","DDR2","128","10.0","3.3","28.8","45",""
"GeForce 8600 GS","April 2007","G84","TSMC 80 nm","289","169","PCIe 1.0 x16","16:8:8","540","1180","400","4.32","4.32","256 512","12.8","DDR2","128","10.0","3.3","75.5","47","OEM only"
