"Model","Features","Features","Features","Features","Features","Features","Features"
"Model","Scalable Link Interface (SLI)","3-Way SLI","PureVideo , URL: /wiki/PureVideo
","PureVideo , URL: /wiki/PureVideo
","PureVideo , URL: /wiki/PureVideo
","PureVideo , URL: /wiki/PureVideo
","Compute ability"
"GeForce 8300 GS (G86)","No","No","No","Yes","No","No","1.1"
"GeForce 8400 GS Rev. 2 (G98)","No","No","No","No","Yes","No","1.1"
"GeForce 8400 GS Rev. 3 (GT218)","No","No","No","No","No","Yes","1.2"
"GeForce 8500 GT","Yes","No","No","Yes","No","No","1.1"
"GeForce 8600 GT","Yes","No","No","Yes","No","No","1.1"
"GeForce 8600 GTS","Yes","No","No","Yes","No","No","1.1"
"GeForce 8800 GS (G92)","Yes","No","No","Yes","No","No","1.1"
"GeForce 8800 GTS (G80)","Yes","No","Yes","No","No","No","1.0"
"GeForce 8800 GTS Rev. 2 (G80)","Yes","No","Yes","No","No","No","1.0"
"GeForce 8800 GT (G92)","Yes","No","No","Yes","No","No","1.1"
"GeForce 8800 GTS (G92)","Yes","No","No","Yes","No","No","1.1"
"GeForce 8800 GTX","Yes","Yes","Yes","No","No","No","1.0"
"GeForce 8800 Ultra","Yes","Yes","Yes","No","No","No","1.0"
