"Model","Features","Features","Features"
"Model","Scalable Link Interface (SLI)","PureVideo , URL: /wiki/PureVideo
","PureVideo , URL: /wiki/PureVideo
"
"GeForce 9300 GE (G98)","Yes","No","Yes"
"GeForce 9300 GS (G98)","Yes","No","Yes"
"GeForce 9400 GT","Yes","Yes","No"
"GeForce 9500 GT","Yes","Yes","No"
"GeForce 9600 GSO","Yes","Yes","No"
"GeForce 9600 GT","Yes","Yes","No"
"GeForce 9800 GT","Yes","Yes","No"
"GeForce 9800 GTX","Yes 3-way","Yes","No"
"GeForce 9800 GTX+","Yes 3-way","Yes","No"
"GeForce 9800 GX2","Yes","Yes","No"
