"Model","Launch","Code name , URL: /wiki/Code_name
","Fab , URL: /wiki/Semiconductor_device_fabrication
nm , URL: /wiki/Nanometer
","Transistors (million)","Die size (mm2)","Bus , URL: /wiki/Computer_bus
interface , URL: /wiki/I/O_interface
","Core config1","Clock rate","Clock rate","Clock rate","Fillrate , URL: /wiki/Fillrate
","Fillrate , URL: /wiki/Fillrate
","Memory configuration","Memory configuration","Memory configuration","Memory configuration","API , URL: /wiki/Application_programming_interface
","API , URL: /wiki/Application_programming_interface
","GFLOPS , URL: /wiki/GFLOPS
","TDP , URL: /wiki/Thermal_design_power
","Comments","Release Price (USD)"
"Model","Launch","Code name , URL: /wiki/Code_name
","Fab , URL: /wiki/Semiconductor_device_fabrication
nm , URL: /wiki/Nanometer
","Transistors (million)","Die size (mm2)","Bus , URL: /wiki/Computer_bus
interface , URL: /wiki/I/O_interface
","Core config1","MHz , URL: /wiki/Hertz
","MHz , URL: /wiki/Hertz
","MHz , URL: /wiki/Hertz
","GP , URL: /wiki/Pixel
","GT , URL: /wiki/Texel_(graphics)
","MB , URL: /wiki/Megabyte
","GB , URL: /wiki/Gigabyte
","DRAM type","bit , URL: /wiki/Bit
","Direct3D , URL: /wiki/Direct3D
","OpenGL , URL: /wiki/OpenGL
","Single precision , URL: /wiki/Single_precision_floating-point_format
","TDP , URL: /wiki/Thermal_design_power
","Comments","Release Price (USD)"
"GeForce 205","November 26, 2009","GT218","TSMC , URL: /wiki/TSMC
40 nm , URL: /w/index.php?title=40_nm&action=edit&redlink=1
","260","57","PCIe 2.0 x16","8:4:4","589","1402","1000","2.356","2.356","512","8","DDR2","64","10.1","3.3","22.4","30.5","OEM only",""
"GeForce 210","October 12, 2009","GT218-325-B1","TSMC , URL: /wiki/TSMC
40 nm , URL: /w/index.php?title=40_nm&action=edit&redlink=1
","260","57","PCIe 2.0 x16 PCIe x1 PCI","16:8:4","520 589","1230 1402","1000–1600","2.356","4.712","512 1024","4.0 8.0 12.8","DDR2 DDR3","32 64","10.1","3.3","36.4 44.9","30.5","",""
"GeForce GT 220","October 12, 2009","GT216-300-A2","TSMC 40 nm","486","100","PCIe 2.0 x16","48:16:8","615(OEM) 625","1335(OEM) 1360","1000 1580","5","10","512 1024","16.0 25.3","DDR2 DDR3","64 128","10.1","3.3","128.2(OEM) 130.6","58","",""
"GeForce GT 230","October 12, 2009[48]","G94b","UMC , URL: /wiki/United_Microelectronics_Corporation
","505","196?","PCIe 2.0 x16","48:24:16","650","1625","1800","10.4","15.6","512 1024","57.6","GDDR3","256","10","3.3","156","75","OEM only",""
"GeForce GT 230","April 27, 2009[49]","G92b","UMC , URL: /wiki/United_Microelectronics_Corporation
","754","260","PCIe 2.0 x16","96:48:12","500","1242","1000","6","24","1536","24","DDR2","192","10","3.3","238.5","75","OEM only",""
"GeForce GT 240","November 17, 2009","GT215-450-A2","TSMC 40 nm","727","139","PCIe 2.0 x16","96:32:8","550","1340","1800 2000 3400(GDDR5)","4.4","17.6","512 1024","28.8(OEM) 32 54.4(GDDR5)","DDR3 GDDR3 GDDR5","128","10.1","3.3","257.3","69","",""
"GeForce GTS 240","July 1, 2009[50]","G92a G92b","TSMC 65 nm TSMC/UMC 55 nm","754","324 260","PCIe 2.0 x16","112:56:16","675","1620","2200","10.8","37.8","1024","70.4","GDDR3","256","10.0","3.3","362.9","120","OEM only",""
"GeForce GTS 250","2009","G92b","UMC , URL: /wiki/United_Microelectronics_Corporation
","754","260","PCIe 2.0 x16","128:64:16","702","1512","2000","11.2","44.9","512 1024","64.0","GDDR3","256","10.0","3.3","387","130","",""
"GeForce GTS 250","March 3, 2009","G92-428-B1","TSMC 65 nm TSMC/UMC 55 nm","754","260","PCIe 2.0 x16","128:64:16","738","1836","2000 2200","11.808","47.232","512 1024","64.0 70.4","GDDR3","256","10.0","3.3","470","150","Some cards are rebranded GeForce 9800 GTX+","$150 ($130 512MB)"
"GeForce GTX 260","June 16, 2008","GT200-100-A2","65 nm","1400","576","PCIe 2.0 x16","192:64:28","576","1242","1998","16.128","36.864","896","111.9","GDDR3","448","10.0","3.3","477","182","Replaced by GTX 260 Core 216","$400 (dropped to $270 after 3 months[51])"
"GeForce GTX 260","September 16, 2008 November 27, 2008 (55 nm)","GT200-103-A2","65 nm 55 nm","1400","576 470","PCIe 2.0 x16","216:72:28","576","1242 1350","1998","16.128","41.472","896 (1792)","111.9","GDDR3","448","10.0","3.3","536.5 583.2","182 171","","$300"
"GeForce GTX 275","April 9, 2009","GT200-105-B3","TSMC/UMC 55 nm","1400","470","PCIe 2.0 x16","240:80:28","633","1404","2268","17.724","50.6","896 (1792)","127.0","GDDR3","448","10.0","3.3","674","219","Effectively one-half of the GTX 295","$250"
"GeForce GTX 280","June 17, 2008","GT200-300-A2","65 nm","1400","576","PCIe 2.0 x16","240:80:32","602","1296","2214","19.264","48.16","1024","141.7","GDDR3","512","10.0","3.3","622","236","Replaced by GTX 285","$650 (dropped to $430 after 3 months[51])"
"GeForce GTX 285","January 15, 2009","GT200-350-B3","TSMC/UMC 55 nm","1400","470","PCIe 2.0 x16","240:80:32","648","1476","2484","20.736","51.84","1024 (2048*)","159.0","GDDR3","512","10.0","3.3","708.48","204","Palit, Gainward, BFG and EVGA launched 2 GB versions. EVGA GTX285 Classified supports 4-way SLI","$400"
"GeForce GTX 295","January 8, 2009","2x GT200-400-B3","TSMC/UMC 55 nm","2x 1400","2x 470","PCIe 2.0 x16","2x 240:80:28","576","1242","1998","2x 16.128","2x 46.08","2x 896","2x 111.9","GDDR3","2x 448","10.0","3.3","1192.3","289","Dual PCB models were replaced with a single PCB model with 2 GPUs","$500"
"Model","Launch","Code name , URL: /wiki/Code_name
","nm , URL: /wiki/Nanometer
","Transistors (million)","Die size (mm2)","Bus , URL: /wiki/Computer_bus
interface , URL: /wiki/I/O_interface
","Core config1","MHz , URL: /wiki/Hertz
","MHz , URL: /wiki/Hertz
","MHz , URL: /wiki/Hertz
","GP , URL: /wiki/Pixel
","GT , URL: /wiki/Texel_(graphics)
","MB , URL: /wiki/Megabyte
","GB , URL: /wiki/Gigabyte
","DRAM type","bit , URL: /wiki/Bit
","Direct3D , URL: /wiki/Direct3D
","OpenGL , URL: /wiki/OpenGL
","Single precision , URL: /wiki/Single_precision_floating-point_format
","TDP (Watts)","Comments","Release Price (USD)"
"Model","Launch","Code name , URL: /wiki/Code_name
","nm , URL: /wiki/Nanometer
","Transistors (million)","Die size (mm2)","Bus , URL: /wiki/Computer_bus
interface , URL: /wiki/I/O_interface
","Core config1","Clock rate","Clock rate","Clock rate","Fillrate , URL: /wiki/Fillrate
","Fillrate , URL: /wiki/Fillrate
","Memory configuration","Memory configuration","Memory configuration","Memory configuration","Supported API version","Supported API version","GFLOPS , URL: /wiki/GFLOPS
","TDP (Watts)","Comments","Release Price (USD)"
