"Model","Launch","Code name , URL: /wiki/Code_name
","nm , URL: /wiki/Nanometer
","Transistors (million)","Die size (mm2)","Bus , URL: /wiki/Computer_bus
interface , URL: /wiki/I/O_interface
","SMX count","Core config1","Clock rate","Clock rate","Clock rate","Clock rate","Fillrate , URL: /wiki/Fillrate
","Fillrate , URL: /wiki/Fillrate
","Memory configuration","Memory configuration","Memory configuration","Memory configuration","API , URL: /wiki/Application_programming_interface
","API , URL: /wiki/Application_programming_interface
","API , URL: /wiki/Application_programming_interface
","API , URL: /wiki/Application_programming_interface
","GFLOPS , URL: /wiki/GFLOPS
","GFLOPS , URL: /wiki/GFLOPS
","TDP , URL: /wiki/Thermal_design_power
","Release Price (USD)"
"Model","Launch","Code name , URL: /wiki/Code_name
","nm , URL: /wiki/Nanometer
","Transistors (million)","Die size (mm2)","Bus , URL: /wiki/Computer_bus
interface , URL: /wiki/I/O_interface
","SMX count","Core config1","MHz , URL: /wiki/Hertz
","MHz , URL: /wiki/Hertz
","MHz , URL: /wiki/Hertz
","MHz , URL: /wiki/Hertz
","GP , URL: /wiki/Pixel
","GT , URL: /wiki/Texel_(graphics)
","MB , URL: /wiki/Megabyte
","GB , URL: /wiki/Gigabyte
","DRAM type","bit , URL: /wiki/Bit
","Vulkan , URL: /wiki/Vulkan_(API)
","Direct3D , URL: /wiki/Direct3D
","OpenGL , URL: /wiki/OpenGL
","OpenCL , URL: /wiki/OpenCL
","Single precision , URL: /wiki/Single_precision_floating-point_format
","Double precision , URL: /wiki/Double_precision_floating-point_format
","TDP , URL: /wiki/Thermal_design_power
","Release Price (USD)"
"GeForce GT 705[71]4","March 27, 2014","GF119-300-A1","TSMC , URL: /wiki/TSMC
","292","79","PCIe 2.0 x16","1","48:8:4","810","N/A","N/A","898 (1796)","3.24","6.5","512 1024","14.4","DDR3","64","n/a[57]","12","4.6","1.1","155.5","19.4","29","OEM"
"GeForce GT 710[72]","March 27, 2014","GK208-301-A1","28 nm , URL: /w/index.php?title=28_nm&action=edit&redlink=1
","1020","79","PCIe 2.0 x8","1","192:16:8","823","N/A","N/A","900 (1800)","6.6","13.2","512","14.4","DDR3","64","1.0[57]","12","4.6","1.2","316.0","13.2","","OEM"
"GeForce GT 710[72]","January 26, 2016","GK208-203-B1","28 nm , URL: /w/index.php?title=28_nm&action=edit&redlink=1
","1020","79","PCIe 2.0 x8, PCIe x1","1","192:16:8","954","N/A","N/A","900 (1800) 1253 (5010)","7.6","15.3","1024 2048","14.4 40.0","DDR3 GDDR5","64","1.0[57]","12","4.6","1.2","366","15.3","19","$35–45"
"GeForce GT 720[73]","March 27, 2014","GK208-201-B1","28 nm , URL: /w/index.php?title=28_nm&action=edit&redlink=1
","1020","79","PCIe 2.0 x8","1","192:16:8","797","N/A","N/A","900 (1800) 1253 (5010)","6.4","12.8","1024 2048","14.4 40.0","DDR3 GDDR5","64","1.0[57]","12","4.6","1.2","306","12.8","19","$49–59"
"GeForce GT 730 [74]5,6","June 18, 2014","GK208-301-A1","28 nm , URL: /w/index.php?title=28_nm&action=edit&redlink=1
","1020","79","PCIe 2.0 x8","2","384:16:8","902","N/A","N/A","900 (1800)","7.22","14.44","1024[75] 2048 4096","14.4","DDR3","64","1.0[57]","12","4.6","1.2","692.7","28.9","23","$69–79"
"GeForce GT 730 [74]5,6","June 18, 2014","GK208-400-A1","28 nm , URL: /w/index.php?title=28_nm&action=edit&redlink=1
","1020","79","PCIe 2.0 x8","2","384:16:8","902","N/A","N/A","1250 (5000)","7.22","14.44","1024 2048[76]","40.0","GDDR5","64","1.0[57]","12","4.6","1.2","692.7","28.9","25","$69–79"
"GeForce GT 730 [74]5,6","June 18, 2014","GF108","TSMC 40 nm","585","116","PCIe 2.0 x16","2","96:16:4","700","N/A","N/A","900 (1800)","2.8","11.0","1024 2048 4096","28.8","DDR3","128","n/a[57]","12","4.6","1.1","268.8","33.6","49","$69–79"
"GeForce GT 7407","May 29, 2014","GK107-425-A2","TSMC , URL: /wiki/TSMC
28HP , URL: /w/index.php?title=28_nanometer&action=edit&redlink=1
","1270","118","PCIe 3.0 x16","2","384:32:16","993","N/A","N/A","891 (1782)","15.9","31.8","1024 2048 4096","28.5","DDR3","128","1.0[57]","12","4.6","1.2","762.6","31.8","64","$89–99"
"GeForce GT 7407","May 29, 2014","GK107-425-A2","TSMC , URL: /wiki/TSMC
28HP , URL: /w/index.php?title=28_nanometer&action=edit&redlink=1
","1270","118","PCIe 3.0 x16","2","384:32:16","993","N/A","N/A","1252 (5008)","15.9","31.8","1024 2048 4096","80.1","GDDR5","128","1.0[57]","12","4.6","1.2","762.6","31.8","64","$89–99"
